,標題,時間,作者,內文,留言作者,留言
25,[徵求] 房東的貓2018「四季之外」臺灣巡迴特別,Wed Feb 14 15:20:59 2018,Chang0524 (蕪菁騷年),"




1.徵求內容：房東的貓2018「四季之外」臺灣巡迴特別場 預售票 一張


2.時間：03/23（五）19:30


3.地點：永豐 Legacy Taipei


4.備註：站內信/Line 詳談, 謝謝。

-----
Sent from JPTT on my Samsung SM-G532G.

--
",['chen92105'],[': 借徵一張 很感謝']
26,[心得] 修學旅行-老王樂隊×睡後故事,Wed Feb 14 15:58:31 2018,bsw555 (層層),"

終於看到老王現場
提早一小時去排隊
幸運的在第一排夢幻位而且就在立長正前方
草舍很小，他們上下台的過程一直從我們旁邊經過
迷妹真的承受不起啊(噴鼻血)

老王真的是我看過數一數二歌名爆炸長的團了
而且手寫歌單還堅持要寫好寫滿XD(脆樂團跟怕胖的歌單都會簡寫)
舉例
<補習班的門口高掛我的黑白照片>
<曾經的女人啊你在哪裡 你在哪裡>
<穩定生活多美好 三年五年高普考>
<那些失眠的夜與難以忘懷的事>
歌單密密麻麻顯然對歌名的長度很有堅持XD
後來介紹<垂釣>的時候「歌名很短」全場大爆笑

每一首都好喜歡
老王的編制也讓編曲更為豐富
大愛高普考的超澎湃搖滾編曲
聽live常常被吃掉的低音非常清楚
被轟得超過癮
Talking就像男生之間的嘴砲日常
講爛笑話互嗆自己笑成一團
(銅偉碩真的爛死了XDDDDDD)
明明歌都很悲很厭世卻是個ㄎㄧㄤ團XD

票價才275真的是完全超越這個價值
共演的睡後故事也很好聽 木吉他加手風琴的編制很特別
期待他們有更多作品！

看完老王現場的最大感想是立長真的好可愛啊啊啊TT
今天是情人節也是立長的生日喔
祝我們長長生日快樂<3 (你誰)

--
","['yora', 'oyoy0413', 'lichen2']","[': 立長超可愛>\\\\\\<', ': 立長真的超可愛 之前拍合照的時候一直在我後面跳XD', ': 推推！']"
27,[分享] 情人節告解歌 莊鵑瑛-時光機,Wed Feb 14 17:21:09 2018,nicholase (沈),"
小球 莊鵑瑛  時光機

https://youtu.be/fRBaIj8OZiU

時光機
作詞：莊鵑瑛
作曲：莊鵑瑛

聽咖啡店裡的呼吸 機器敲打的聲音
想念源自於隔壁 連結我的記憶

你隔一百公分距離 聊著比較的問題
來自心底的聲音 偽失寵的過去

有沒有時光機把我帶回去
再給我一次機會讓我們重新延續

有沒有時光機把我帶回去
或許我有勇氣也有足夠智慧擁抱我和你

誰都希望軟化堅硬 愛是疑惑的基底
求救最後警報於尖銳的字句

心中缺口難以撫平 滿腦委屈的過去
我說著不在意 說不出害怕失去你

有沒有時光機把我帶回去
再給我一次機會讓我們重新延續

有沒有時光機把我帶回去
或許我有勇氣也有足夠智慧
擁抱我和你

以為時間太多 就在爭辯著
一個表面 一個輸贏

其實時間太少 只能渴望著
時光能夠回到過去

有沒有時光機把我帶回去
再給我一次機會 讓我們重新延續

有沒有時光機把我帶回去
或許我有勇氣 也有足夠智慧

擁抱我和你

——————————————————————

可惜的是我們無法擁有時光機

所以有情人就過好情人節，單身那就過好今天星期三，只要快樂，就沒有人會在今天違和
，一起聽歌吧。
　
祝大家情人節快樂，星期三快樂。

--
",[],[]
28,[徵求] 房東的貓3/23演唱會套票,Wed Feb 14 20:11:50 2018,peom3310 (天佑台灣),"

1.徵求內容：房東的貓「四季之外」特別巡迴演唱會四人套票一組


2.時間：3/23（五）19:30


3.地點：永豐legacy taipei


4.備註：有意讓出的好心人麻煩站內信囉～感謝您

--
",[],[]
29,[分享] 情人節告解歌 - Someday,Wed Feb 14 20:44:36 2018,clark2644 (去死去死團軍曹),"
https://www.youtube.com/watch?v=VCyXGRGnNbs
山下達郎 - いつか

有時在一個人的腦海裡
是個令人難以置信的事情
每個人 都想獨自逃生
通過傷害的愛情

SOMEDAY 一個人並不孤單
SOMEDAY 一些東西我可以找到

寂寞獨自走在夜晚的城市
遇見一個知道真正悲傷的人

誠實的愛不會再次相遇
沒有人說再見
所以不要發出一個烏雲常駐的臉
以及一個苦澀的一天

SOMEDAY 一個人並不孤單
SOMEDAY 一些東西我可以找到

每天的波浪都足以讓你頭暈目眩
正在流淌著人的寒冷海洋

--
","['Yanagi5566', 'clark2644', 'Yanagi5566']","[': 突然發現 這是最近愛聽的citypop!!', ': 我還幫人翻譯了哼哼', ': 大推用心啊啊啊']"
30,[分享] 情人節告解歌-全世界我最喜歡你,Wed Feb 14 21:51:32 2018,genie529 (我太帥了吧),"
https://youtu.be/3uIbahu_S6s

今天天氣很好 太陽出來了
風兒輕輕吹 鳥兒嘰嘰叫
你心情也很好 臉上總是笑
笑的真可愛 可惜不是對我笑

真的好喜歡你 希望你知道
寫一首歌給你 又害怕你聽到

全世界我最喜歡你 可是你都不知道
因為你不喜歡我 你比較喜歡睡覺
全世界我最喜歡你 可是你都不知道
我會提醒 你起床尿尿 拜託你喜歡我好不好

——

一開始是營隊的早操歌

聽到有點厭煩


直到偶然看了歌詞

突然就這樣愛上這首可愛的歌了

--
",['ghost811203'],[': 這首超可愛-///-']
31,[分享] 情人節告解歌-你是我最愚蠢的一次浪漫,Wed Feb 14 21:51:54 2018,znling (znling),"
https://youtu.be/DHMx_B9-zdY

房東的貓 『你是我最愚蠢的一次浪漫』

可愛可恨可有遺憾
是你是他又與誰相關
細細緩緩輕輕慢慢
失神歲月一去無返

可曾可願可知冷暖
餘暉散盡又熄滅絢爛
淙淙潺潺簌簌款款
娓娓訴說不驚波瀾

沿窗聽風塵
痕跡都黯然
故事被具象成不愉快的夜晚

時間一過
繼而被吹散
未出口的話喉嚨裡打轉
換成歌給你聽
可能更委婉

仙湖邊有船
微光照彼岸
我是這船上客
它陪我渡孤單

夜的心事
浩瀚又紛亂
你走之後我很少再看
在想像中復燃
可能更解煩

可愛可恨可有遺憾
是你是他又與誰相關
細細緩緩輕輕慢慢
失神歲月一去無返

偷來的時光總是太短

你是我最愚蠢的一次浪漫

-------------------------------------------
我失戀療傷歌單的第一首歌。幾乎每字每句都能打中我心。
聽了會默默心碎、掉眼淚，但不會大哭特哭的一首歌。

沒有情人，那趁今天來跟房東的貓告白吧！
謝謝你們的歌陪我走過失戀的歲月，非常療癒，歌詞美得令人讚嘆、卻也有緩緩的痛楚，但至少不會再刺傷心靈了。
今天也很幸運地買到票，三月見～～

情人節快樂

--
","['ghost811203', 'Justin0610', 'hcl1007', 'llw0228']","[': 推房東的貓', ':  推房東的貓', ': 好好聽喔', ': 之前分手的時候也是聽這首 能平緩情緒嗚嗚']"
32,[分享] 情人節告解歌 - 沒有你我什麼都不是,Wed Feb 14 22:37:30 2018,linda841031 (Chia),"

那我懂你意思了 - 沒有你我什麼都不是
https://youtu.be/gIPDRGQ1K7Q


你是唯一的真實啊
你是唯一的夢想
你是唯一的美麗啊
你是唯一的光

沒有你我什麼都不是


--
","['hsinyuop', 'deerlight']","[': 推', ': 推']"
33,[分享] 情人節告解歌-瑪啡因 Apple,Wed Feb 14 23:48:41 2018,muds (滌雨),"
https://www.youtube.com/watch?v=q1jPpVJKpks

有一天你不再認識我
像打蠟卻腐爛的蘋果
有一天你不再認識我
像忘記選擇過的路口

我們相信的該質疑
質疑的應該相信
放開的應該握緊
握緊的應該放手
在一次一次的徘徊中我們找到答案
卻不是出口

--

一直很喜歡的團，也一直沒去看他們的現場

當初這首歌帶領我進入他們構築的世界

彷彿在心頭徘徊卻又直直地進入心坎裡

總之，這情人節是屬於不再回歸的美好事物

--

我站在山頂上 遙望世界的匆忙……
萬家燈火卻變成微弱的光

--
",['xiaowei'],[': 這首太厭世了QQ']
34,[分享] 情人節告解歌-Hellow,Wed Feb 14 23:53:09 2018,yourmmaa (法號夢遺),"
https://youtu.be/fnZF8nLGlug

我愛妳，愛著我們相處的每一刻
不管是開懷大笑或難過哭泣都要好好珍惜彼此
妳是路，我是路人
路人找對了路，期待一起回家的那天到來


擁有了九十九分的熱情，剩下百分之一的確定
將妳抱緊，別再懷疑

--
",[],[]
35,[分享] 情人節告解歌-受寵若驚,Thu Feb 15 00:48:39 2018,ke003 (鳥餅乾),"
https://www.youtube.com/watch?v=eDItWFYwo8A

-

Though I can see I want you be my eyes
Though I can shine I'm dying for your light
Though I can fly I need you gentle wings
Though I can smile I need you see my smile


--
","['ghost811203', 'Yanagi5566', 'Yanagi5566', 'a0335348']","[': 法蘭！', ': 昨天原本也想放這首的xD', ': 這張專輯其他歌也真的很甜', ': 法蘭黛必須推']"
36,[分享] 情人節告解歌-我愛你卻不能拯救你,Thu Feb 15 02:29:35 2018,iloveinhua (大包俠),"
https://youtu.be/RucWamnU6Ic

你對著人群大喊 在天橋的中心
在遠處面對你 只想要獲得平靜
帶著私心 我向你走近 走近
你說恨是動力 我卻如此的愛你

可你是你 我們是獨立的個體
你喜歡做你自己
我討厭這種無能為力

我愛你 也愛著我和你
我愛你 卻不能拯救你

你對著人群大喊 在天橋的中心
在遠處面對你 只想要獲得平靜
帶著私心 我向你走近 走近
你說恨是動力 我卻如此愛你

可你是你 我們是獨立的個體
你喜歡做你自己
我討厭這種無能為力
我愛你 也愛著我和你

我愛你 卻不能拯救你
可你是你 我們是獨立的個體
你喜歡做你自己
我討厭這種無能為力

我愛你 也愛著我和你
我愛你 卻不能拯救你

_--------------------------__----------------------___----


你喜歡做你自己，我討厭這種無能為力，

在上一段感情裡面，

體會到了這句話的真實，

不同的價值觀不同的世界，

都希望對方變成自己希望的模樣，

然後再也沒辦法後退了，

後背已經沒有東西了，

她喜歡你的元素，

你喜歡她的元素，

在這個慢慢前進後退的過程裡，

什麼都不剩了，

在感情裡愛著自己多一點的人會比較開心吧哈哈，

希望大家都可以多愛自己一點

-----
Sent from JPTT on my Asus ASUS_X00ID.

--
","['ghost811203', 'yora', 'ning1224', 'Justin0610', 'cherrycpo']","[': 推好樂團', ': 推～', ': 推QQ分手後對這首歌感觸超深', ': 團如其名', ': 推好樂團!!我們一樣可惜也好好聽']"
37,[分享] 9m88 - Plastic Love,Thu Feb 15 22:59:35 2018,nuclear211 (尼戈),"
終於等到MV出來了

釋出消息後就一直很期待

過年之餘也來聽首好歌吧

祝大家新年快樂


https://youtu.be/dadU79KQzO0


不知道大家第一次聽到9m88的聲音是在什麼契機下呢

我自己是因為一直有在關注Leo王，
後來他們合作出了一首陪你過假日，
才發現原來有9m88這樣的好聲音
在地下活躍著，一聽就完全被俘虜了。


後來在朋友的介紹下接觸了City pop這類型的音樂，沒多久後聽到了竹內まりや的
經典歌曲Plastic Love，瞬間被旋律抓住，
於是我愛上了City pop，還學了日文。


沒想到這次可以看到喜歡的歌手表演我自己喜歡的歌曲，很感謝資訊的發達
和音樂的普及，讓我們能聽到
現在的歌手演唱以前的好歌。


--
文青的血液在微，血管裡。

--
","['pink1104', 'john0liang', 'sclbtlove', 'kitkatuu', 'Yanagi5566', 'Yanagi5566', 'Yanagi5566', 'ijn123g', 'panpeter', 'w23040085', 'beahealer']","[': 推9m88', ': 好有那個時代的偶像氛圍。', ': 好有感', ': 喜歡9m88!!!', ': 被電到了> <', ': 我也是因為88開始接觸city pop', ': 只是有點可惜很多歌都沒有數位化', ': 9m88也是從陪你過假日開始注意+1 水管看到這首也好愛', ': 我還是比較喜歡竹內瑪莉亞的版本', ': 大推！', ': 喜歡竹內+1']"
38,[心得] 麋先生2/9中途特企限定回歸場,Sat Feb 17 09:28:03 2018,Esis (孤陋寡聞是我),"
高雄Live Warehouse小庫預定2000開始

2010開始

整場基調就是樂團黑歷史

匯集團員們之前玩的團的歌

全部的歌除了安可曲我沒有一首有聽過

（以前的歌）以後應該也不會再聽到了

照主唱所言就是

「感謝大家陪我們一起回憶不堪回首的過去」



講話講蠻多的

第一團玫瑰花牛肉時就說什麼因為歌詞太讓人不好意思所以30首歌刪到剩3首歌

之後的大概也差不多

回首過去真的沒幾首可以唱的樣子

就努力講話囉

還說曾經兩小時的演唱會只唱了5首歌

說今天氣氛似乎比較文靜

其實練團時也睡著很多次



問要聽什麼歌底下有人說要聽上台

「今天沒有要唱麋先生的歌」  （其實最後還是唱了兩首）

「不然你上台來唱上台」



這天專輯義買

說是從倉庫挖出裸片還自己去建國路買殼手工裝的

說三團都是一片歌手

賣的錢就捐給我們花蓮的朋友（底下鼓掌）

有黴味就是歷史的味道

如果有刮到不能聽之類的也不退貨就當做捐給花蓮的朋友了

最後又說歌詞本不夠有人願意買的話會算便宜還是是會捐給花蓮的朋友



最後說我們現在是麋先生還是唱麋先生的歌結束好了

所以唱了我們

安可曲問了半天

箱子、筆劃、向著南邊、黃昏市長都出現了

最後說從麋途、小朋友、馬戲團運動選

說要用尖叫聲決定還問了兩遍

很想聽尖叫聲的樣子

這場的確蠻安靜的

但是有時間問那麼久不如都唱吧

總之用馬戲團運動熱鬧地結束了

--
","['john0liang', 'SuperRoMay', 'Yanagi5566']","[': 心得就是推！', ': 推 XD', ': 皇軍!!!']"
39,Re: [公告] 2018情人節計畫,Sat Feb 17 22:39:58 2018,Yanagi5566 (持續厭世中),"

今年謝謝各位的參與
遲來的祝大家新年快樂~
附上歌單！

-

陳粒 - 小半 (https://youtu.be/22PF83zIW0k)
顯然樂隊 - 我愛你但那與你無關 (https://youtu.be/joHEbZPDZN8)
告五人 Accusefive. - 披星戴月的想你 (https://youtu.be/N0t0HT7Eh1c)
Gala - 我絕對不能失去你 (https://youtu.be/rHJHoydD_P4)
小球 莊鵑瑛 - 時光機 (https://youtu.be/fRBaIj8OZiU)
山下達郎 - いつか (https://youtu.be/VCyXGRGnNbs)
來吧！焙焙！ - 全世界我最喜歡你(可是你都不知道) (https://youtu.be/3uIbahu_S6s)
房東的貓 - 你是我最愚蠢的一次浪漫 (https://youtu.be/DHMx_B9-zdY)
那我懂你意思了 - 沒有你我什麼都不是 (https://youtu.be/gIPDRGQ1K7Q)
瑪啡因樂團Maffine - Apple (https://youtu.be/q1jPpVJKpks)
Mary See the Future - Hellow (https://youtu.be/fnZF8nLGlug)
Frandé法蘭黛樂團 - 受寵若驚 (https://youtu.be/eDItWFYwo8A)
好樂團 GoodBand - 我愛你，卻不能拯救你 (https://youtu.be/RucWamnU6Ic)

-


02/15/2018 13:30:09 支出 $100 ($1555 => $1455) 轉帳給 ghost811203 (稅後 $90)
02/15/2018 13:30:24 支出 $100 ($1455 => $1355) 轉帳給 oyoy0413 (稅後 $90)
02/15/2018 13:30:42 支出 $100 ($1355 => $1255) 轉帳給 slowwalker (稅後 $90)
02/15/2018 13:31:28 支出 $100 ($1255 => $1155) 轉帳給 micky0803 (稅後 $90)
02/15/2018 13:31:42 支出 $100 ($1155 => $1055) 轉帳給 nicholase (稅後 $90)
02/15/2018 13:31:59 支出 $100 ($1055 => $955) 轉帳給 clark2644 (稅後 $90)
02/15/2018 13:32:16 支出 $100 ($955 => $855) 轉帳給 genie529 (稅後 $90)
02/15/2018 13:32:29 支出 $100 ($855 => $755) 轉帳給 znling (稅後 $90)
02/15/2018 13:32:43 支出 $100 ($755 => $655) 轉帳給 linda841031 (稅後 $90)
02/15/2018 13:32:55 支出 $100 ($655 => $555) 轉帳給 muds (稅後 $90)
02/15/2018 13:33:13 支出 $100 ($555 => $455) 轉帳給 yourmmaa (稅後 $90)
02/15/2018 13:33:23 支出 $100 ($455 => $355) 轉帳給 ke003 (稅後 $90)
02/15/2018 13:33:35 支出 $100 ($355 => $255) 轉帳給 iloveinhua (稅後 $90)


--
乃姬教妳如何用賴告白
http://i.imgur.com/m8sNC2L.jpg

--
","['john0liang', 'genie529', 'nuclear211', 'znling']","[': 推！', ': 推推', ': 推 好歌單', ': 推推～～']"
40,[問題] 跟年/月份有關的歌,Sun Feb 18 16:10:41 2018,fnabeo (搖滾樂快點救救我),"

上次有板友問跟年紀有關的歌

讓我想到自從失手刪掉自己排的歌單之後就沒好好整理過了

我想求一下跟月份有關的歌

例如超級阿雜的九月開學季就是要聽一下九月教室啊!!!!!



我自己目前整理的有：

張懸     - Love, New Year. (好像有點牽強，但我是習慣跨年聽XD)
閃閃閃閃 - 四月物語
先知瑪莉 - July
黃小楨   - 八月二十八
透明雜誌 - 九月教室
黃小楨   - December Night
熊寶貝   - 沒有12月的城市
1976     - 十二月

還有歌名沒提到月份，但是歌詞有的：

1976     - 夜晚還年輕
蘇打綠   - 遲到千年
EASY     - 小傾心大爆炸

歌名有年份：

1976     - 70年代
1976     - 80年代
1976     - 90年代
go chic  - 2010
夜貓組   - 2017太空漫遊


赫然發現我的歌都好舊嗚嗚
跪求大家推薦了～

--
","['john0liang', 'john0liang', 'jeudionemore', 'jeudionemore', 'ohyahacker', 'freeichou2', 'nicholase', 'bill9228tw', 'sissy27', 'CreeperC', 'kodopo', 'yasamnoya', 'JingChuang', 'JingChuang', 'john0liang', 'huyokili', 'clark2644', 'ica6131', 'distaste605', 'jellylu', 'clark2644', 'clark2644', 'leiwen89', 'linda841031', 'SUJO', 'a2530720', 'Kscking', 'Equinox', 'Equinox', 'Yanagi5566', 'deerlight', 'hsnufuji', 'xiaowei', 'GRAYPOINT', 'zumma', 'zumma', 'hsnufuji', 'MIYAVIneko', 'tinggg658', 'december1952', 'junecats', 'tracy25', 'HEAtkinGdom', 'HEAtkinGdom', 'znling', 'Yanagi5566', 'Yanagi5566', 'znling']","[': 回聲樂團 - 木雕輪盤', ': 啊，這首是歌名有年代，好像不是你要的。', ': Flux-來自1960', ': 原子邦妮-四月天', ': 江松霖-九月', ': 回聲樂團-新年', ': 羅大佑-戀曲1990', ': 南瓜妮歌迷俱樂部-七月十日', ': 棉花糖 貳拾貳 滅火器 十九', ': 午夜乒乓 - December', ': 謝震廷-年', ': 農武的遊花園算嗎 正月到十二都有了XD', ': Green Day-Wake me up when September ends', ': 八釐米天空-Her November Dairy', ': 大家好棒！', ': 宋冬野 年年', ': RUSH - 2112', ': 洪申豪-一起吃鍋的朋友', ': Flux-來自1960', ': 四分衛-十月病', ': 圖騰-馬太鞍的春天', ': THE GOLD AGE-十年', ': 惘聞-2012', ': ACIDMAN - 2145年', ': 雷光夏 - 我的80年代', ': 8mm sky-Her November Dairy  青春大衛—五月雪', ': 自然捲 風和日麗天氣晴', ': 推周杰倫的上海1943雖然可能不算獨立音樂了但很喜歡他以', ': 前的風格', ': 周杰倫根本自成一格還唱成主流超猛的', ': 雷光夏 逝（歌詞裡有月份）', ': 好妹妹/八月午后', ': Boyz & Girl - October', ': 許含光 - 新年未老', ': 陳珊妮 - 6月29日', ': 林生祥 - 蒔禾歌', ': 夏卡毛/下雨的四月天', ': 洪申豪的金巴利 有五月', ': 柯智棠的It was May', ': 亂推個Earle Brown的December 1952', ': 嘴哥-Years', ': Ellegarden-No.13', ': 三小湯 11月4號', ': 11月4日*', ': 竹内まりや September (老歌了XD)', ': 竹内まりや！', ': 9m專場回來後都在聽她的歌哈哈', ': 樓上 我也是因為9m才知道她 現在也是一直聽XD']"
41,[問題] 有人知道襪子樂隊嗎？,Mon Feb 19 02:23:55 2018,sdog7777 (欸斯狗七七),"

各位版友晚安新年快樂

去年在逛茉莉影音館尋寶時無意間看見了襪子樂隊的專輯《在破碎的城市裡》，原本不認識他們，但因為專輯封面和名稱很吸引我而買下。

http://i.imgur.com/l6N2zJn.jpg

回家聽了之後發現很喜歡（也讚嘆自己運氣很好），但網路上能找到的資料非常少，只知道是2001、02年的作品，團員們後來似乎還有以其他身分繼續活動。

想請問有沒有大神當年聽這張專輯認識他們或是知道他們的近況呢？
也覺得這張真的很好聽想推薦給各位～

https://youtu.be/FQL8KWReHzM

-----
Sent from JPTT on my Samsung SM-A710Y.

--
","['tk930732', 'tk930732', 'tk930732', 'tk930732', 'zumma', 'ismydear']","[': 蠻好聽的，吸引我google了一下，目前只有找到bass手', ': 在 任天堂世代憂鬱 和 Emily The Band 這兩個團中', ': 目前也都是休團的狀態 猜測應該是業餘吧(?)', ': 吉他目前還在濁水溪公社 玩過的團也蠻多的像是放客', ': 站內Emily版。Streetvoice:艾蜜莉樂隊', ': 第一代的英搖團']"
42,[問題] 獨立樂團臺語歌,Mon Feb 19 02:28:08 2018,fkim205 (沒有錯啦),"
自己比較喜歡的有
熊寶貝-一個人的天光
淺堤-叨位是你的厝
草東-滔滔
拍謝少年的好幾首歌

想問版友還有什麼推薦的嗎？
感謝～

--
","['clark2644', 'clark2644', 'adiharu', 'adiharu', 'oyoy0413', 'oyoy0413', 'oyoy0413', 'oyoy0413', 'oyoy0413', 'oyoy0413', 'oyoy0413', 'oyoy0413', 'punklittle', 'punklittle', 'punklittle', 'MIYAVIneko', 'xdcjordan', 'linda841031', 'cjcjovup', 'lichen2', 'yasamnoya', 'tpenig', 'ning1224', 'CreeperC', 'tony900845', 'pinaa0421', 'pinaa0421', 'dheart', 'MLCCN', 'jason050117', 'jason050117', 'pinaa0421', 'graffitiblue', 'Yanagi5566', 'Yanagi5566', 'MRfridge', 'addyson', 'Heartlessli', 'ericfan0000', 'liz1412', 'liz1412', 'Pro80', 'znling', 'w23040085', 'a2530720', 'tk930732', 'eggcakela', 'ichigoryo', 'micky0803', 'nolan7193', 'w23040085', 'themask7742', 'currychen', 'lambda', 'lambda', 'juliana1222', 'hsnufuji', 'jason050117', 'eric1788995', 'cloudylove', 'cloudylove', 'lasadust', 'lilith', 'robin8013', 'Esis', 'td162940', 'wwwwwei19', 'jesse5566', 'jeff7897', 'qwer356156', 'p610260', 'Stefano', 'yungilin000', 'mountainn', 'ETeating', 'CestSiBon', 'shinzun1701']","[': 川秋沙全部', ': 少年花 大稻程 車尾燈戀人', ': 張三李四 - 卡歸去', ': 甘苦人 - 孤身一人', ': 美秀集團的懶趴火跟細粒的目睭', ': 茄子蛋 - 波克比的愛 我若是有來生想欲變成你  Ms.Dorem', ': i 浪子回頭 他們的歌很多台語的XDD', ': TRASH - 青春的夢  不是人', ': 槍擊潑辣也很多 軟土深掘 末班車 你低叨位 黑色蓮花', ': 滅火器 - 晚安台灣 早安台灣 島嶼天光', ': 麋先生 - 囝仔', ': 血肉果汁機也是很多台語歌 但是是金屬團小心服用XD', ': 表兒都是台語呀！', ': 吳志寧-全心全意愛你 父子合作的歌', ': 湯姆與哈客-後山的山', ': 夕陽武士 價值 煙火', ': 茄子蛋-浪子回頭', ': 推百合花~~~', ': 濁水溪公社', ': 消波塊樂團', ': 農村武裝青年 孩子王', ': 火燒島喇', ': 想你點煙', ': Deca joins - 豔紅 雖然只有副歌一小段', ': 夕陽武士 分手信', ': 娃娃的你啊你啊副歌有一段', ': 大佛普拉斯的主題曲-有無', ': 盪在空中！', ': 林強雖然不是樂團 但他的台語電音很棒', ': 淺堤讚讚', ': 再推孩子王', ': 隨性～剛剛聽到的', ': 非人物種R', ':  下一張的草東!!', ': 偷偷推早年五月天', ': 海上的人啊啊啊啊啊？', ': 拍謝少年阿', ': 害喜喜-西班牙查某', ': 美秀 茄子蛋', ': 隨性 孩子王 非人物種 閃靈', ': 還有第一二張五月天', ': 茄子蛋', ': 我也有一樣的問題！推推', ': 喜歡法蘭黛翻唱的〈桂花巷〉', ': 台語推美秀 和以前的五月天', ': 麻花捲怪獸', ': 很愛 浪子回頭', ': 法蘭唱台語歌超好聽的~~~', ': 毒蘋果-風中的花', ': 農村武裝青年', ': 慈謙〈無窗的房間〉雖然不是樂團xd', ': 樂團台語歌真的很少', ': Theseus-掠交替', ': 伍佰和新寶島應該也算樂團吧', ': 還有旺福的阿爸我要當歌星和阿娘哈細腰', ': 孩子王、淺堤，現場都很好聽！！', ': 暗黑白領階級有幾首台語。 還有安妮朵拉/阿嬤的白頭鬃', ': https://youtu.be/33UIottFNQ0 推薦原po這集', ': 我幾乎沒在聽臺語團，但茄子蛋真的讚！', ': 必順鄉村', ': 風籟坊', ': 百合花 推推', ': 大推茄子蛋', ': 推個夕陽武士', ': 可以試試董事長、男子漢', ': 也推百合花', ': 隨性', ': 閃靈全部 拍謝少年全部', ': 農村武裝青年', ': 隨性 非人物種', ': 推農村武裝青年', ': 推農村武裝青年！', ': 推濤濤', ': 隨性 夢中世界 重新開始', ': 適者生存的時間呼咱的話專輯，如果可以接受金屬', ': 百合花全部、茄子蛋！', ': 推農武']"
43,[徵求] 2018房東的貓［四季之外］演唱會,Tue Feb 20 20:03:51 2018,X75de74F (Danny86),"
-------------------------------溫馨小提醒---------------------------------
                   發文前請詳閱公開板規並遵守法律規範
-------------------------以上文字可用ctrl+y刪除---------------------------


1.徵求內容：
房東的貓演唱會，單人票一張


2.時間：
3/23 星期五

3.地點：
永豐legacy Taipei

4.備註：
希望有意轉讓的大大站內信我    

--
",[],[]
44,[心得] 小球星空冒險日記第二章:真實世界高雄場,Wed Feb 21 10:51:53 2018,nicholase (沈),"
https://i.imgur.com/jhP9add.jpg


2018終於又聽到了小球的歌聲，總是有人會問我，怎麼有辦法能一直聽同一個人的演唱會
呢？這段日子層層剝開自己，我也問自己究竟想成為甚麼樣的人，或許信念始終如一，就
好像即使沒有被誰眷顧，也還是想試圖找尋自己的方向，如同我非常依賴信仰這兩個字一
樣，即使沒有形體、或是中間充滿了困難與距離，但能讓信仰的事物存在於心，就可以帶
著疲憊走到非常遙遠的未來，我覺得小球對我而言就是這一種信仰，總是在我最需要的時
候給我力量，演唱會結束後的擁抱是給彼此最好的鼓勵跟打氣，我們需要的不多，只需要
稍微喘口氣，然後比較有力氣的那個，為另一個打打氣。

我知道世間不存在所謂不變，但我相信改變就是最好的不變，任何失去擁有對我來說都無
法判斷好壞，最怕的是無法有所成長。很開心去年小巡迴後認識了聽歌好朋友，排隊的時
候一起打鬧、一起慶生、一起吃早午晚餐還有宵夜、一起互相幫忙、一起為了台上的小球
尖叫還有用力的跳，是我改變後最好的收穫了，最後還是要謝謝小球的生日祝福。


2018讓我們跟著小球一起繼續往前衝吧！！！

--
","['gash8830', 'john0liang', 'Yanagi5566']","[': 推小球是一種信仰！！一起往前吧', ': 推', ': 推球迷 樓下ball0228']"
45,[徵求] 陳粒 光 台北演唱會 票,Thu Feb 22 00:38:10 2018,kimgee (kimgee),"
-------------------------------溫馨小提醒---------------------------------
                   發文前請詳閱公開板規並遵守法律規範
-------------------------以上文字可用ctrl+y刪除---------------------------


1.徵求內容：陳粒  《光》台北演唱會

2.時間：3/17

3.地點：台北legacy

4.備註：1-2張皆可

可以的話麻煩加我line 非常感謝QAQ
ID:ally810138

--
",[],[]
46,[徵求] Vast & Hazy首張EP,Thu Feb 22 18:24:39 2018,jimmy201213 (路人乙),"

1.徵求內容：Vast & Hazy首張EP


2.地點：台北車站附近可面交、露天


備註：價格站內可議

最近才成為他們的粉絲 希望有人能割愛

--
","['jeudionemore', 'jeudionemore', 'jimmy201213']","[': 之前在西門的佳佳有看到過~', ': 不知道還有沒有', ': 前幾天跑一趟 已經賣出去了']"
