,標題,時間,作者,內文,留言作者,留言
10,[交易],Wed Sep 26 23:25:22 2018,superhua (超),"
-------------------------------溫馨小提醒---------------------------------
                   發文前請詳閱公開板規並遵守法律規範
                      標題分類後請加上 徵/售/換/贈
              完成交易後也請修改標題為 已徵/售出/已換/已贈
 例：[交易] 售/2375EP -完成交易後-> [交易] 售出/2375EP
-------------------------以上文字可用ctrl+y刪除---------------------------


1.徵/售/換/贈：徵


2.交易項目：TAKAO ROCK雙日票（四人或雙人套票的 收一張）


3.交易價格：原價收


4.交易時間：徵到為止


5.交易地點：台北捷運可面交，郵寄可


6.備註：

--
","['op1213', 'xiaowei', 'superhua']","[': 收+1', ': 還沒搜奧啊...', ': 想看看有沒有四人或兩人套票有多的']"
11,[交易] 急售The fin. Live in Kaohsiung 2018,Thu Sep 27 00:21:53 2018,san14222 (1234),"


1.徵/售/換/贈：售


2.交易項目：The fin. Live in Kaohsiung 2018 雙人套票
時間 9/29 20:00
地點 高雄駁二 livewarehouse

3.交易價格：原價 2000，急售，意者可談！

4.備註：請站內信聯繫，成交者提供ibon取票碼喔，感謝


--
",[],[]
12,徵 茄子蛋 9/30 台北場,Thu Sep 27 08:53:15 2018,masdf991 (心靈雞湯塊),"
9/30

茄子蛋《想妳的彼岸》

台北Legcey

徵求一張

台北.能面交，時間可以討論

麻煩站內信告知

謝謝！

--
",[],[]
13,[交易] takao雙日四人套票一張,Thu Sep 27 12:10:50 2018,td162940 (會走路的香菇),"

1.徵/售/換/贈：售


2.交易項目：Let's Party！預售四人雙日票 1張


3.交易價格：1800


4.交易時間：匯款後傳電子票券Qr code


5.交易地點：匯款後傳電子票券Qr code



6.備註：
本來跟朋友約定兩天一起聽了，
但最近才想到11/17我也買槍花的票，
只能取捨去玩一天啦QQ
快來站內信！

因為當時買只有電子票券，如果有疑慮的話也可以約台中面交傳Qr code給你啦！


--
",[],[]
14,[交易]  遊牧森林早鳥票一張,Thu Sep 27 12:33:43 2018,jason750611 (),"
節目：遊牧森林音樂祭
地點：暨南大學
時間： 10/13-14
原價：早鳥票1380元
售價：1380
張數：1張

交易方式：面交（高雄）/ 郵寄
連絡方式：站內信


--
",['Yanagi5566'],[': 4-3']
15,[交易]遊牧森林音樂祭,Thu Sep 27 16:28:42 2018,z33chen (爽哥),"



1.售：遊牧森林音樂祭



2.交易價格：早鳥票價 1380*2，可分售、議價


3.交易時間：站內信


4.交易地點：台中可面交


5.備註：臨時有事去不了因此求售


-----
Sent from JPTT on my OPPO CPH1607.

--
",['Yanagi5566'],[': 3-4']
16,[交易] 游牧森林音樂祭票*4 $1300/張,Thu Sep 27 16:45:06 2018,Zwubber (Xunder),"
1.售：游牧森林音樂祭


2.交易價格：早鳥票價 $1300*4，希望可以一次買2張或4張，4張優先


3.交易時間：站內信


4.交易地點：臺北可面交


5.備註：到時候可能還在調時差怕死掉QQ

--
推 gunny2205:試用龜頭敲嗎??11/21 20:49
→ gunny2205:是11/21 20:49
推 asprin02:樓上幹嘛自問自答11/21 21:28
推 hanabi025:他打錯字吧 11/21 21:43

--
","['gunny2205', 'gunny2205', 'asprin02', 'hanabi025']","[':試用龜頭敲嗎??', ':是', ':樓上幹嘛自問自答', ':他打錯字吧']"
17,[分享] 茄子蛋-浪流連 ,Thu Sep 27 17:37:13 2018,aeslin (至尊寶),"
上禮拜新歌出來就一直聽
實在是有夠好聽
感動到不行
昨天mv出來
竟然是高捷和吳朋奉!!!!!

有種浪子回頭 第二集的感覺
已經無限重播一個禮拜了
https://www.youtube.com/watch?v=3Y0Ut5ozaKs

--
","['kmwoman', 'food36', 'chunx2', 'sissy27', 'LanceHaHa', 's916813', 'yiii103', 'JOYCE0914', 'qwe2468558', 'qwe2468558', 'qwe2468558', 'JustaJunk', 'Yanagi5566', 'Squirtle223']","[': 咱攏是為著愛情來浪流連～～QQ', ': 扯好聽 我覺得比浪子回頭還屌了 茄子蛋超狂', ': 超爆好聽啦', ': 阿德的吉他真的很有魔性', ': 拜託不要變成一首很氾濫的歌 只唱不懂後面的意義', ': 覺得比浪子回頭更屌+1', ': 我覺得比較像浪子回頭的前篇！', ': 配上音樂 直接流淚', ': 是前篇沒錯R  浪子回頭是混混高中生的回憶   從50秒', ': 兩人長大畫面推出來的 浪流連裡面的警察是長大後的高', ': 中生', ': 高捷大哥的演技真的 絕了', ': 現場超棒的 痛哭流涕', ': 推推']"
18,[交易] 售/Wonderfruit泰國音樂祭/4 DAY PASS早鳥票*1,Thu Sep 27 20:38:41 2018,peipie (     ),"


1.徵/售/換/贈：出售


2.交易項目：Wonderfruit泰國音樂祭 / 4 day pass早鳥電子票*1
活動官網 http://wonderfruit.co

3.交易價格：購入價為 4500泰銖（依照交易當天匯率）


4.交易時間：10月底前


5.交易地點：台北/桃園


6.備註：欲購者請站內信～

        音樂祭日期為 13-16 Dec 2018，

        因臨時有其他更重要的事而無法參與QAQ，
        若有需要希望連同機票一起出售~
        機票資訊：
        虎航Tigerair/桃園-曼谷/12-16 Dec
        去程時間：15:45-18:45/回程時間：20:00-0040
        機票購入價：NT5268
        更名費：賣家承擔
        機票浮動費：賣家承擔

第一次po票卷交易文，如有違規請友善告知謝謝～










--

--
","['e80729', 'peipie']","[': 推！居然真的有人特地飛去參加～', ': 其實也是因為太喜歡泰國xD']"
19,[交易] 售/HYUKOH＜24＞/台北TICC/原2800*2/售2500,Thu Sep 27 22:13:37 2018,peipie (     ),"


1.徵/售/換/贈：售


2.交易項目：HYUKOH ＜24＞/ 台北場TICC / 2張


3.交易價格：原價2800 出售2500


4.交易時間：10/11前


5.交易地點：台北/桃園


6.備註：10/14 之後不在台灣，希望有緣人來領走～
        email:[email protected]
        或站內信



--
",[],[]
20,[交易] 徵 茄子蛋9/30 想妳的彼岸,Fri Sep 28 07:55:43 2018,jack91303 ( 後來冷冷的),"


徵求一張或兩張皆可

9/30 台北legacy
茄子蛋《想妳的彼岸》

台北面交

意者請站內～

謝謝！

-----
Sent from JPTT on my iPhone

--
",[],[]
21,[交易] 售 9/30 茄子蛋 想妳的彼暗,Fri Sep 28 12:59:03 2018,bob833233 (傑尼傑尼),"

1.徵/售/換/贈：售


2.交易項目：9/30 茄子蛋 2張


3.交易價格：600/張（請一次帶走兩張）


4.交易時間：私下約


5.交易地點：台北


6.備註：幫朋友賣兩張，站內信確認要的請再聯絡朋友～


--
",['jack91303'],[': 已站內哦']
22,[閒聊] 搖滾台中停辦嗎？,Fri Sep 28 20:38:11 2018,Syd (Wish you were here),"

剛剛跟朋友在討論，

提到搖滾台中怎麼都沒消息，

後來他去找了預算書

https://www.news.taichung.gov.tw/833221/post
https://imgur.com/u5E8W9s
https://imgur.com/2EVTibE

看起來是預算被刪掉了

--
“ I don't really feel like I know a whole lot about anything,
    but I know a few things about baseball.” -- Greg Maddux

--
","['k300plus', 'Ginpunch', 'Yanagi5566', 'marho541', 'chiichi', 'lyukuo', 'graffitiblue', 'Nima000', 'kirin8kirin', 'blacksword08', 'dive6', 'j90206', 'jerry1757', 'wqe4r3sdf', 'wqe4r3sdf', 'wqe4r3sdf', 'ilovetherock', 'micky0803', 'cocoed1012', 'andylai1997', 'graffitiblue', 'graffitiblue', 's78036', 'r410044', 'Jimnew', 'Astrologer28', 'Astrologer28']","[': 去年辦的不錯啊 怎麼會被砍...', ': ㄨㄚˊ', ': 花博需要錢錢', ': 原本還在等說...', ': 翻白眼', ': 我幹你的林X龍', ': ....', ': 去年人好多', ': So sad fk', ': what the f……………', ': 干真假...', ': 靠.......', ': 傻眼...', ': 一堆奇怪項目 搖滾台中 多大的觀光效應阿', ': 其他什麼影視一堆 根本沒人在理', ': 其他縣市開始跟進搶辦 台中反而煞車了 ...', ': 難怪我前幾天研究的時候搖滾台中fb還關版', ': 哭哭欸', ': 竟然停辦了嗚嗚嗚', ': 幹……', ': https://imgur.com/a/T6cXMuI', ': 佳龍says還是有機會', ': 不可以～～～～～～', ': 本來超期待的說QQQQQ', ': 點播草東_在', ': 剛剛去搜了一下', ': 搖滾台中粉專復活了']"
23,[交易] 跪求茄子蛋9/30 台北場1張,Fri Sep 28 23:57:25 2018,dd019857474 (可樂果還我),"

求9/30 台北legacy
茄子蛋《想妳的彼岸》

台北面交


-----
Sent from JPTT on my Samsung SM-G955F.

--
",['todd860103'],[': 同求一張 謝謝']
24,[交易],Sat Sep 29 06:35:54 2018,psyoso (Miguel),"

1.徵/售/換/贈：售


2.交易項目：9/29  929生鏽的夢專輯演唱會(Legacy Taipei  20:00)門票一張


3.交易價格：450元


4.交易時間：9/29 18:00-19:00


5.交易地點：Legacy Taipei


6.備註：
（１）原本買了兩人套票，現在多了一張，臨時也找不到人一起去，故想售出一張。


（2）意者可寄站內信，感謝。





-----
Sent from JPTT on my Asus ASUS_Z012DA.

--
",[],[]
25,[閒聊] 人渣文本談茄子蛋,Sun Sep 30 12:14:23 2018,JihadiHaHa (聖戰士哈哈),"
個人心得:
為什麼要不懂蛋蛋又裝懂
不懂獨立音樂又裝懂




臉書連結:
特急件小周的人渣文本
https://goo.gl/GKgrwR


臉書全文:
茄子蛋已經連三天台灣youtube最熱惹~

有人問我這是不是知識份子在炒作社會底層的情節，但我看了一下知識份子的同溫層，好
像都沒人在討論，茄子蛋的主要支持群應該還是勞動群體。

所以其實不是炒作的問題，是台灣社會真的有很大一塊這種底層。

知識份子下去選舉才會看到吧。

https://i.imgur.com/8HCt0Sa.jpg



--
","['john0liang', 'Hiara', 'susukkk', 'ismydear', 'ericfan0000', 'Yanagi5566', 'gipo776', 'liz1412', 'kuzmamba', 'qq5771313', 'qq5771313', 'eric1788995', 'eric1788995', 'juicyball', 'deerlight']","[': 問號！', ': 供三小@@', ': 真的有種「蛤？」的感覺', ': 也沒說錯 我們都是勞動的打工仔', ': 所以他在供三小', ': 請給我翻譯翻譯', ': 身為知識份子又勞動族群的我好混亂', ': 這邏輯我不懂', ': 我竹科的朋友們也都在聽 在他眼裡也都是勞工罷了吧', ': 能跟我解釋什麼是知識份子，什麼是勞動族群，而兩者又', ': 有什麼差別？', ': 聽音樂還要這麼累喔還要分什麼勞動族群、知識份子的', ': ，BTW蛋蛋這首我覺得還好欸老實說...', ': 路過噓 不懂別亂扯= =', ': ？！']"
26,售 10/05美秀集團 電火王專場台北場,Sun Sep 30 12:24:47 2018,matsumula (松村),"

手殘多訂兩張票
600/張
雙北可面交
有興趣請站內
感謝勞力

-----
Sent from JPTT on my Samsung SM-G930F.

--
",['matsumula'],[': 已售出 感謝']
27,[交易] 徵青山祭灰色T全新二手都可以,Sun Sep 30 12:59:59 2018,Trexhand (手短),"


1.徵/售/換/贈：徵求


2.交易項目：青山祭第一年灰色T恤M號，長得像這樣，
https://i.imgur.com/cxOmD56.jpg

不是黑色的，黑色的是第二年的




3.交易價格：全新或二手都可以，二手的話希望可以講一下衣服現況或照片，來信報價


4.交易時間：站內


5.交易地點：郵寄或貨運都可以


6.備註：


--
",[],[]
28,[交易] 徵雙人票 sheep got waxed ,Sun Sep 30 18:57:56 2018,nina85317 (葛琳妮),"

1.徵/售/換/贈：徵


2.交易項目：the wall_sheep got waxed live in Taipei


3.交易價格：$800


4.交易時間：站內


5.交易地點：現場或板南線


6.備註：有沒有人想一起湊雙人票QQ


--
",[],[]
29,[交易] 售/法蘭黛 在另一個平行宇宙 10/06 台北,Mon Oct  1 13:26:09 2018,chanmoregood (蘑菇),"


1. 售：法蘭黛 「 在另一個平行宇宙，」10/06 Taipei Legacy


2. 交易項目：我們一定會再相遇(預售) $800


3. 交易價格：$700


4. 交易時間：平日晚上或當天面交


5. 交易地點：捷運藍線/橘線


6. 備註：請站內信幫我帶走她，感恩 QQ


-----
Sent from JPTT on my Sony G8232.

--
",[],[]
30,[已徵到] 徵/遊牧森林音樂祭早鳥票x1,Mon Oct  1 16:02:21 2018,hihsin (hsinhsin),"
1. 徵：遊牧森林音樂祭的早鳥票價一張&停車證

2. 交易項目：早鳥票四張&停車證

3. 交易價格：早鳥票價

4. 交易時間：站內信約！基本上都可以

5. 交易地點：台北捷運面交可/郵寄可

6. 備註：強力徵求～～若有人願意分開賣也很感謝～～請站內信～～
",[],[]
