,標題,時間,作者,內文,留言作者,留言
10,[好聽] ㄉ音樂 ><,Sun Apr 10 17:53:44 2016,rrr518 (理沙),"
https://tw.streetvoice.com/HelloNico/songs/341148/


雖然窩不知道什麼4非主流音樂

可4窩覺得這個好好聽

窩聽一聽揪睡著惹!!!!


超級舒服的歌聲!!!




後我好想抓下來睡覺的時候聽 TAT

--
","['Yanagi5566', 'rrr518', 'Yanagi5566', 'Yanagi5566']","[': 是nico!!', ': 對!!! 是nico!!!!!', ': 我有cd可以借你啦030', ': 但是我要水桶版聚030']"
11,[公告] 非主流音樂板 板規,Sun Apr 10 18:08:52 2016,Yanagi5566 (奶姬56),"
     
     
     音樂板 板規
     
       
     
   
           
         
         
           
         
         
       
            ヽ(∀ﾟ )人(ﾟ∀ﾟ)人( ﾟ∀)人(∀ﾟ )人(ﾟ∀ﾟ)人( ﾟ∀)ﾉ
                 歡迎來到溫馨的非主流音樂板
                     這裡是大家可以分享非主流、獨立音樂的板板
                         以下是我們的板規請大家一起注意喔
                                       謝謝
ヽ(∀ﾟ )人(ﾟ∀ﾟ)人( ﾟ∀)人(∀ﾟ )人(ﾟ∀ﾟ)人( ﾟ∀)ﾉ
 壹文章規範
 第一條   無關板旨 -刪文處理-
              與非主流或是獨立音樂無關之文章、鬧版或者是有更適合該文板面之文章。


  第二條  爭議文   -水桶兩周-
 攻擊他人（須當事人來信檢舉）、性騷擾他人、發表引戰之文章（包
              含吵架)。

     第三條 文字字數 -刪文處理-
              文章字數未滿十五字
              ",[],[]
12,[交易] 買/棉花糖2375EP,Mon Apr 11 19:53:36 2016,Yanagi5566 (奶姬56),"
-------------------------------溫馨小提醒---------------------------------
                   發文前請詳閱公開板規並遵守法律規範
-------------------------以上文字可用ctrl+y刪除---------------------------
1.買/賣/換： 買


2.交易項目： 棉花糖2375EP


3.交易價格： 2375元可議


4.交易時間： 不限


5.交易地點： 台中台北為優


6.備註： 棉花糖鐵粉站出來!!!!!!!!!

--
http://i.imgur.com/QjttQl5.jpg

Today Is A Beautiful Day


--
","['holishing', 'jefflyc2002', 'Yanagi5566', 'ball0228', 'Yanagi5566', 'oaoa0123', 'holishing', 'Yanagi5566']","[': 幫推推～ XD', ': 幫推XD', ': 我缺這張啊OAQ', ': 我有這張！！！！！！恭喜開版！！！！我是莊鵑瑛-小球', ': 我可以跟樓上買嗎 然後對不起我進版打錯字嗚嗚', ': 哇 是小球耶XD', ': 嗚嗚～是小球耶XD', ': 決定惹 明年生日願望是小球賣我2375 xDD']"
13,[四月] 表演資訊,Mon Apr 11 22:07:24 2016,Yanagi5566 (奶姬56),"
因為這個版在四月初成立
所以我從今天之後的活動開始介紹ㄅ
資訊若有錯誤歡迎指正
也歡迎大家多多提供不同資訊~
喔耶





 四月
12
Soundstatues / T.B.A.

場館  河岸留言 音樂藝文咖啡
時間 2016/04/12(二) 21:00


13
Violet Lens紺樂團 『宣傳新歌 順便環島』

場館 4/13 台北- 樹樂集 Treellage Life Cafe ,台中- 窩柢咖啡 WoDihouse Cafe, 高雄
- 三餘書店 TaKaoBooks , 台東- 都蘭小客棧-Little-Inn
時間 2016/04/13(三) - 2016/04/16(六)

-
KNOCK樂團 / 雨國 Kingdom of Rain

場館  河岸留言 音樂藝文咖啡
時間 2016/04/13(三) 21:00


14
DSPS / 午休失眠

場館  河岸留言 音樂藝文咖啡
時間 2016/04/14(四) 21:00


15
好樂團@台北時裝音樂季

場館  Space ohhmyStyle
時間 2016/04/15(五) 19:00

-
Children in Love 新專輯發行巡迴高雄站

場館  The Mercury 水星酒館
時間 2016/04/15(五) 19:30

-
葉賀璞 The White One 專輯發表獨奏會

場館  ThERE CAFE ＆ LIVE HOUSE
時間 2016/04/15(五) 20:00

-
草東沒有派對《醜奴兒》專輯巡迴最終加演場

場館  永豐 Legacy Taipei 音樂展演空間
時間 2016/04/15(五) 20:00

-
『小地方一週年特典活動：我們唱著彼此的歌—鄭宜農 Ｘ 謝震廷 』

場館  小地方展演空間
時間 2016/04/15(五) 20:00

-
董運昌與烏托邦吉他大賽得主音樂會

場館  河岸留言 音樂藝文咖啡
時間 2016/04/15(五) 21:00

-
RADIQ aka Yoshihiro Hanno 半野喜弘

場館  PIPE Live Music
時間 2016/04/15(五) - 2016/04/16(六)

-
Crispy脆樂團/蘇珮卿

場館  河岸留言西門店
時間 2016/04/15(五) 19:30


16
Urban Nomad Opening Freakout 遊牧影展十五週年戶外怪奇派對

場館 微遠虎山
時間 2016/04/16(六) 14:00

-
好樂團+台北時裝音樂季

場館  Space ohhmyStyle
時間 2016/04/16(六) 19:00

-
波形遊戲 松武秀樹台灣演出

場館  PIPE Live Music
時間 2016/04/16(六) 19:30

-
Legacy台中「喊聲搖滾」-滅火器全新專輯『重生Reborn』發片巡迴演唱會

場館  Legacy Taichung 台中音樂傳記
時間 2016/04/16(六) 20:00

-
23號半《到處都是庫巴的嘍囉》專輯巡演

場館  ThERE CAFE ＆ LIVE HOUSE
時間 2016/04/16(六) 20:00

-
04/16勸世要得歌唱秀&喵喵異次元簽唱會台南場

場館  U11 拾壹庫展演空間
時間 2016/04/16(六) 20:00

-
『我要加辣+飴雨』加辣2.0 兩周年慶-小鮮肉包大戰老屁股

場館  FUZZ Art Space 狀態音樂
時間 2016/04/16(六) 20:00

-
『友達限定』 喜歡音樂原創音樂人- 俞心嵐x金大為x林俊安x徐子霖/ T.B.A

場館  河岸留言 音樂藝文咖啡
時間 2016/04/16(六) 21:00

-
True2Trance: Darren Porter

場館  U11 拾壹庫展演空間
時間 2016/04/16(六) 23:00


17
Timmy Lok X Side Tam (HK) Special in Tainan w/ 阿琺a夢遊仙境,世外桃源

場館  TCRC
時間 2016/04/17(日) 16:00

-
粗大Band「未知的星球」EP 發片巡迴-台中場

場館  Legacy Taichung 台中音樂傳記
時間 2016/04/17(日) 18:00

-
【Legacy mini @ amba】「在手牽手之前」絲竹空爵士樂團

場館  Legacy mini @amba
時間 2016/04/17(日) 20:00

-
洪詮翔 / 謝至平

場館  河岸留言 音樂藝文咖啡
時間 2016/04/17(日) 21:00


18
19
Salama樂團/ 鹿角樂團

場館  河岸留言 音樂藝文咖啡
時間 2016/04/19(二) 21:0


20
Ben Barritt Solo Taiwan Tour

場館  The Mercury 水星酒館
時間 2016/04/20(三) 20:00

-
林綾feat Edison M / 鍾鎮宇

場館  河岸留言 音樂藝文咖啡
時間 2016/04/20(三) 21:00


21
Pierre劉沛/Lenny Wu伍靖

場館  河岸留言 音樂藝文咖啡
時間 2016/04/21(四) 21:00


22
【 Unfaced Party 】臺大音樂節 x 小地方實驗性派對

場館  小地方展演空間
時間 2016/04/22(五) 19:00

-
安妮塔克 Annie & [email protected]台北時裝音樂季

場館  Space ohhmyStyle
時間 2016/04/22(五) 19:00

-
巨大的轟鳴《老子有的是時間》發片演唱會台北場

場館  永豐 Legacy Taipei 音樂展演空間
時間 2016/04/22(五) 20:00

-
Children in Love 新專輯發行巡迴台中站

場館  Legacy Taichung 台中音樂傳記
時間 2016/04/22(五) 20:00

-
烏賊紳士《狗》專輯發片場 w/ 老貓偵探社

場館  TCRC
時間 2016/04/22(五) 21:00

-
呂聖斐 & Freinds

場館  河岸留言 音樂藝文咖啡
時間 2016/04/22(五) 21:30

-
Beatbox&The Music of Rape

場館 VENUE
時間 2016/04/22(五) - 2016/04/23(六)

-
寶島獵奇事件 - 獵奇の女伶篇 山東 復活

場館  TADA方舟(台中創意文化園區)
時間 2016/04/22(五) 19:30



23
2010-2015 OUR Time with Yen-j 爵式嚴選演唱會

場館  永豐 Legacy Taipei 音樂展演空間
時間 2016/04/23(六) 17:00

-
安妮塔克 Annie & Taco+台北時裝音樂季

場館  Space ohhmyStyle
時間 2016/04/23(六) 19:00

-
【1+1+1≠3】演唱會：夕陽武士/一步/隨性

場館  Legacy Taichung 台中音樂傳記
時間 2016/04/23(六) 19:30

-
陳惠婷 被遺忘的烏托邦

場館  小地方展演空間
時間 2016/04/23(六) 20:00

-
4.23 (六) 核桃 來我家吧！暖春音樂會

場館  海邊的卡夫卡
時間 2016/04/23(六) 20:00

-
Straight Outta Taipei - The Last Breath Taiwan Tour (1st Half) <The Last Breath
殘息樂團, The Roadside Inn , Endtrocity 暴行終止>

場館  TCRC
時間 2016/04/23(六) 20:30

-
管罄 & 林逸欣［今晚之後。。。你會記得什麼東西］Mini concert tour

場館  恆春山羊飯館
時間 2016/04/23(六) 20:30

-
喜歡音樂原創音樂人 - 「爵妙瘋格」通勤少年x范安婷x企鵝貓 / 「紳士搖滾趴」黃昺翔x
何鑑軒x紀儀羚x周照棠

場館  河岸留言 音樂藝文咖啡
時間 2016/04/23(六) 21:00


24
【Legacy mini @ amba】「指板上的旅程」－劉雲平專輯發表會

場館  Legacy mini @amba
時間 2016/04/24(日) 15:00

-
魏如昀「所謂如昀」音樂會

場館  永豐 Legacy Taipei 音樂展演空間
時間 2016/04/24(日) 19:00

-
胖虎2016最新單曲《FACELIFE》巡迴演唱開跑！

場館  小地方展演空間
時間 2016/04/24(日) 20:00

-
【喵麗絲夢遊喵境簽唱會 + Playmess】

場館 杰克音樂 Jack Studio
時間 2016/04/24(日) 20:00

-
【衝出台北】殘息樂團2016年台灣巡迴 (高雄場) w/ 三噸半3.D.B x Winslow

場館  Paramount Bar 百樂門酒館
時間 2016/04/24(日) 20:00

-
4.24 (日) 十九兩 + 余昊益 + 陳威愷

場館  海邊的卡夫卡
時間 2016/04/24(日) 20:00

-
宝島獵奇事件 Final Round

場館  Revolver 左輪手槍
時間 2016/04/24(日) 20:30

-
酒窩與法令紋/七號青

場館  河岸留言 音樂藝文咖啡
時間 2016/04/24(日) 21:00


25
26
Yifan Trio Project / Risk & Scale

場館  河岸留言 音樂藝文咖啡
時間 2016/04/26(二) 21:00


27
【Legacy mini @ amba】ONE STEP BEHIND, ONE STEP AWAY 周照棠

場館  Legacy mini @amba
時間 2016/04/27(三) 20:00

-
毛襪 MOWA / 天文謀殺 Zodiac

場館  河岸留言 音樂藝文咖啡
時間 2016/04/27(三) 21:00


28
丁霜語 / 西尤島二重奏

場館  河岸留言 音樂藝文咖啡
時間 2016/04/28(四) 21:00


29
PIPE Friday Night Live-失眠星球頻道,平窮鐵人 The POVERTY,The Hyper

場館  PIPE Live Music
時間 2016/04/29(五) 19:30

-
4.29 (五) Nicole & Tully's Band

場館  海邊的卡夫卡
時間 2016/04/29(五) 20:00

-
Her tour概念演唱會

場館  永豐 Legacy Taipei 音樂展演空間
時間 2016/04/29(五) 20:00

-
今晚之後。。。你會記得什麼東西

場館  Forro Cafe 呼嚕咖啡
時間 2016/04/29(五) 20:30

-
「沒這個」爵士樂團

場館  河岸留言 音樂藝文咖啡
時間 2016/04/29(五) 21:30


30
玩弦瞬間 2016玩弦四度台灣巡迴

場館  有時甘杯
時間 2016/04/30(六) 19:00

-
Legacy台中「喊聲搖滾」-巨大的轟鳴《老子有的是時間》發片演唱會台中場

場館  Legacy Taichung 台中音樂傳記
時間 2016/04/30(六) 20:00

-
4.30 (六) 管罄 & 林逸欣 [今晚之後。。。你會記得什麼東西] Mini concert tour

場館  海邊的卡夫卡
時間 2016/04/30(六) 20:00

-
王宏恩

場館  河岸留言 音樂藝文咖啡
時間 2016/04/30(六) 20:30

-
台大音樂節

場館  台大醉月湖畔、舊體周邊
https://www.facebook.com/ntusamusicfestival/
-
法蘭黛 春天嘛

場館  西門河岸留言
時間 2016/04/30(六) 20:00


--
http://i.imgur.com/QjttQl5.jpg

Today Is A Beautiful Day


--
","['blueskymaple', 'mdf1235', 'five1289', 'verden', 'holishing', 'esajhih', 'Dreamkids', 'MollyChen', 'MollyChen', 'MollyChen', 'Yanagi5566', 'moraxx', 'yaGaga', 'tk930732', 'kazeho', 'blueskymaple', 'december1952', 'rrr518', 'fish510468', 'MetalChao', 'RubyCoraline']","[': \\Enno/ \\陳惠婷/ \\喵喵/ \\Queen/ \\林綾/', ': 好詳細 推！！', ': 超詳細！推阿！', ': 好詳細好棒！', ': 推了XD', ': 謝謝你', ': 讚啊', ': 補：好多音樂「多好」演唱會 Night Keepers/詹森淮/', ': Crispy脆樂團/蘇珮卿 @西門紅樓大河岸 2016/4/15(五)', ': 19:30', ': 嗚嗚我家忘記繳網路費明天找到電腦幫忙弄吧ˊˇˋ', ': 詳細推！', ': 好詳細啊推一個', ': 0430 台大音樂節 卡司超強', ': 推轟鳴', ': 4／30 20：00 法蘭黛 春天嘛 @西門紅樓河岸留言', ': 很需要這資訊，推～', ': 推推', ': 推詳細 建議可以用成估狗行事曆 大家可以一起編輯~~~', ': 推!', ': 推～～～']"
14,[祝賀] 恭喜開板,Mon Apr 11 23:06:08 2016,blueskymaple (♥藍♥天♥),"
\安妮朵拉/ \Hello Nico/ \那我懂你意思了QAQ/ \Crispy/ \先知瑪莉/ \自然卷/ \Enno/ \滅火器/ \Frandé/ \黃玠瑋/ \來吧！焙焙/ \落日飛車/


好想用滿滿的名字塞滿進板畫面哦哦哦
>/////////<

草東留給你 嘻嘻

--
","['Yanagi5566', 'blueskymaple', 'mibwithray', 'blueskymaple', 'tracy25', 'blueskymaple', 'blueskymaple', 'mibwithray', 'Yanagi5566', 'moraxx']","[': 那我懂你意思了QAQ', ': 大爆退團的時候我好難過QAQ', ': 然後溫習他們的歌溫習了一周嗚嗚', ': 覺得鼓手很重要QAQ', ': 有滅火器!! 歡迎來火板玩', ': 好久沒去火板潛水了…>~<', ': 天啊發現有心得活動>///< 奶姬之後可以辦徵文', ': 好唉 徵文!!!!', ': 好挖 徵文!!', ': \\落日飛車/']"
15,[閒聊] 恭喜開版,Mon Apr 11 23:24:15 2016,fish510468 (金魚腦筋),"



恭喜開版~~~~


置底的表演行程好棒哦



我愛76

--
",['Yanagi5566'],[': 謝謝要多來晃晃啊']
16,[閒聊] 嘻嘻,Tue Apr 12 01:36:47 2016,angelgirl13 (火鍋少女13!!!!),"

恭喜r

大家好 我是１３♥

到底啥是非主流音樂啊？(撐頭

對ㄌ

期中加油ㄅ

--
","['Yanagi5566', 'Yanagi5566', 'Yanagi5566', 'Yanagi5566']","[': 我不是一直叫你聽  森氣', ': 推', ': @@', ': ^^']"
17,[閒聊] 恭喜開版 :),Tue Apr 12 10:52:43 2016,nube3315 (艾草),"

恭喜開版 !!


希望可以聽到更多好音樂


:)

--

                                             兩個人　一條線　黑底白字的過去
                                                               已過去的過去

--
",['Yanagi5566'],[': 棉花糖好夥伴']
18,[情報] 穆勒咖啡館誠徵駐店樂手(4/20止),Tue Apr 12 15:59:40 2016,mullersalon (穆勒藝文),"
《音樂開始的地方》徵求第九期駐店樂手(4/20截止)


我們知道你需要一個舞台。不是需要一個舞台來自我表現或炫耀，而是需要有一個空間把
自己觀察到、感受到的呈現出來。我們知道你需要這樣的經驗......走出房間，透過音樂
和人們交流。或是不管你有多少演出經驗，你可能也需要這樣的空間，可以自在地做自己
，彈自己想彈的，唱自己想唱的，回到音樂的開始之處，分享。


《音樂開始的地方》演出不售票、表演者也無演出費，開放現場觀眾自由打賞，打賞收入
全歸演出者。聽者可能專程也可能不是特地前來聽演出，也可能來來去去。希望透過這樣
的演出型態，也希望透過穆勒的空間氛圍，可以提供表演者和觀眾一個全然不同的分享空
間，讓所有的交流與發生都更自然而自在。


如果你想參與《音樂開始的地方》駐店樂手計畫，請先確認你能夠提供一小時以上的演出
，並將以下資料寄到[email protected]。徵件日自2016年4月1日~4月20日截止，
歡迎大家廣發訊息給你認為需要這個舞台的樂手！


　1. 姓名/藝名/暱稱或團名
　2.照片一張(72dpi，500x700pixel以上，請直接以信件附加檔案傳送)
　3.音樂演出檔案兩支(宣傳用，youtube為佳)
　4.可聯絡之email與電話。
　5.500字內自我介紹。
　6.500字內對於來穆勒演出的想像與期待。
　7.報名信件主旨請用「報名音樂開始的地方第九期」。
　8.以上資料請直接寫在Email裡寄來，不需另附文件。


以上資料不全視同報名未完成。收到資料後會由店長Aarti評選，如確定合作將email告知
。並將排進第九期《音樂開始的地方》演出計畫，於穆勒藝文報與其他網路平面宣傳露出
。【音樂開始的地方】官網：http://music-begins.blogspot.tw/

表演地點：穆勒咖啡館　台北市中山區北安路595巷33號(近大直捷運站)

","['Yanagi5566', 'Yanagi5566', 'mullersalon']","["": 不會觸犯啦但偏廣宣記得先問一下我啦基本上都同意o'_'"", ': o', ': 好的謝謝您!!真是不好意思']"
19,[問題] 什麼是非主流音樂呢,Tue Apr 12 16:46:45 2016,rrr518 (理沙),"
大家豪 我是菜逼八

我想問什麼4非主流音樂ㄋ

到底主流跟非主流有沒有一個明確的定義呀~

還是我覺得好聽就可以丟上來 ><

--
","['Dreamkids', 'Zundel', 'ramhavenovel']","[': 可以討論看看啊 每個人對於定義可能也都不太相同吧', ': 其實沒有很紅的應該就都可以叫非主流吧', ': Of Monster and Men!!']"
20,[閒聊] 被水桶聽什麼音樂好呢,Tue Apr 12 20:25:16 2016,ILoveElsa (梓喵拉屎),"
在原本用來抒發心情的版被水桶

現在滿腹的委屈

請問被水桶該聽什麼音樂呢

--
","['blueskymaple', 'Yanagi5566', 'Yanagi5566', 'Yanagi5566', 'mibwithray', 'jcto04', 'kb24leo', 'kb24leo', 'Yanagi5566']","[': https://youtu.be/iu4PAOVldX0', ': http://youtu.be/5U825i8AZQo', ': 如果思念發發我推薦', ': https://youtu.be/h5xSuJYhp38', ': 然後黑特版判決好冤喔嗚嗚', ': https://youtu.be/jNDnngaqoHk', ': 56不能亡 推我難過', ': 56不能亡 推我難過', ': 56不能亡 推我難過']"
21,[分享] SWANKY DANK,Tue Apr 12 20:42:25 2016,tracy25 (浣熊),"
沒想到第一個分享不是台灣indie...

但我最近狂re這首歌一定要大推的阿!!!!

https://www.youtube.com/watch?v=nhtvXhslDlo

自從去過大港後就煞到這團

最近看到他們有新企劃 團名叫""SWANKY OCEAN ACOUSTIX""(簡稱SOA)

其實還是SWANKY DANK啦 跟阿妹vs.阿密特一樣的概念

該怎麼說 非常吃驚!!!

原本的曲風已經做得很好聽了

完全不同的曲風也可以做得那麼好聽!!!!!!

原來的曲風目前我最喜歡""Listen to the radio""和""number""這兩首

https://www.youtube.com/watch?v=B5hVSk2zRWk

https://www.youtube.com/watch?v=oEnZnJFl64s


另外Sink Like a Stone這首有ft. My First Story主唱Hiro

https://www.youtube.com/watch?v=10Q8MaqqzTo


--
","['blueskymaple', 'Zundel', 'Yanagi5566', 'MrY000']","[': 第一次聽，好喜歡！！', ': 推推！！！', ': 推一個！嗚嗚大港衝到發表無法跟啊', ': 搖滾台中就看過，大港怒買團T，超棒！！']"
22,Re: [問題] 什麼是非主流音樂呢,Wed Apr 13 00:13:45 2016,Yanagi5566 (奶姬56),"
","['blueskymaple', 'Yanagi5566', 'jcto04', 'rrr518', 'lluu1234j', 'lluu1234j', 'tracy25', 'tracy25']","[': 讀書要聽血肉才會清醒啊啊啊>///<', ': 不行啦會跟著搖 對ㄋ有人要去台中聽血肉ㄇ', ': 讀書聽血肉會跟著搖  太粗殘惹', ': 推推 ><', ': http://www.roxyrocker.com/2015/07/02/006-3/', ': 有時真的不好區分獨不獨立，推有自己見解最重要啦哈哈', ': 這跟搖滾是曲風還是精神一樣難分 不過我對獨立的定義就是', ': 資源多寡吧 主流公司/當紅樂團我都覺得是主流']"
23,[分享] 你好妮可臉書,Wed Apr 13 23:35:26 2016,Yanagi5566 (奶姬56),"
Hello Nico
Page Liked · 59 mins  ·

好久沒有去高雄演出，要來看喔！

5/7 南區熱門音樂祭
1,419 Views






https://goo.gl/NQU3dr
好久沒去高雄了!!
衝一波啊啊啊

--
http://i.imgur.com/QjttQl5.jpg

Today Is A Beautiful Day


--
",[],[]
24,[閒聊] 恭喜開板～順便來個自介,Wed Apr 13 23:39:29 2016,ro8809 (墨禾),"
在隔壁dcard的音樂板
看到ptt開了獨立音樂的板
就立馬跑來了～
恭喜開板呀！！！

順便小小介紹一下自己…

本人是初學鼓近一年的小小高中生(?
原本只聽S.H.E、陳綺貞、魏如萱
陳奕迅……(我也算半個老歌掛的)
一直在主流跟非(半?)主流音樂徘徊
不過學鼓之後就被老師影響了…

從 1976 開始聽，聽到 先知瑪莉，
又在新聞看到 那我知道你的意思了
繼續在爵士鼓課上增加了 光引擎、
草東沒有派對、tizzy bac、旺福、小福氣……
當然在聽廣播，看各live house的粉專後
還在繼續擴充跟獨立音樂有關的一切
(雖然相關知識還是明顯不足)

總而言之，祝福開板成功！
希望這個板都能保持活絡～～～

--
","['blueskymaple', 'Yanagi5566', 'ro8809', 'ro8809', 'nateiksr5', 'bsw555']","[': 歡迎 我也想學打鼓，不過要考指考沒時間==', ': 我是不是要開個自介啊ㄏㄏ', ': 板主的確需要開個自介～', ': 一樓的可以考完再學鼓啊~我那時候也是國中升高中的暑假才', ': 其實是「那我懂你意思了」啦XD', ': 那我知道你的意思了哈哈哈哈哈哈']"
25,[閒聊] 咦怎麼會有這個版哈哈,Thu Apr 14 00:38:45 2016,chihh96338 (鈣鐵鉀納),"
剛剛看到藍藍推廣

來看一下

是新板耶

而且版主是奶姬耶！

讚讚

希望在這裡可以認識許多喜歡台灣獨立音樂的朋友

也期許這裡別變成靠北板哈哈

--
","['Yanagi5566', 'a102203028']","[': 我想靠北室友在放血肉意圖使人不讀書嗚嗚', ': 這樣就可以放心把臉書關掉了 呀比']"
26,[自介] 乃姬56,Thu Apr 14 00:58:27 2016,Yanagi5566 (奶姬56),"
☆★☆★☆★☆★☆★☆★☆★☆★→非主流音樂版←☆★☆★☆★☆★☆★☆★☆★☆★
╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪
1. 唉滴：  Yanagi5566


2. 暱稱：  乃姬56 、 nagi56


3. 星座：  魔魔


4. 喜歡的樂手或樂團：  棉花糖!!!


5. 喜歡的歌曲：  再見王子(每次聽現場都快哭了QQ


5. 何時接觸非主流：  高三夏天，青春的春天


6. 想說的話：  嗨~ 請多指教XDDDDD


                   ■     ■
 ■  ■■■■■■■■ ■
 └─┘ ■■■ ■ ■ ■ ■■■ ■
  ─┼─     ■ ■ ■■■■■ ■ ■ ■ ■ ■
■■■ ■■■ ■■       │─│   ■/  ■■■ ■
■ ■   ■ ■ ■  ■  │  ■■■
■■■ ■■■ ■■ ■ ■ ■■■■ ■
■ ■ ■ ■ ■ ■ ■■■■■■
■■■ ■■ ■ ■ ■ ■ ■
■ ■ ■ ■■■■ ■ ■ ■
■■■■■■ ■ ■ Non-mainstream-music 2016

--
","['holishing', 'ILoveElsa', 'Yanagi5566', 'MollyChen']","[': 推棉花糖！！！', ': 讚讚', ': elsa發一篇啊', ': 推棉花糖!!']"
