,標題,時間,作者,內文,留言作者,留言
88,[情報] Punk Strike Fes'19 (台灣龐克折返跑),Sun May  5 08:52:08 2019,HELPQQ (幫QQ),"
https://m.facebook.com/story.php?story_fbid=2126560597400533&id=1199607886762480

Punk Strike Fes'19 (台灣龐克折返跑)

這個最不讓人期待、醉莫名其妙、
醉臭又醉累的派對又出現了.....

而且公佈今年日期又是一樣挑在半夜
果然最叛逆、最壞壞、最沒有人知道～

今年有來自台灣、日本、韓國、中國、法國
共計 17 組龐克惡棍，
三個城市折返跑、雙舞台折返跑、
龐克搖滾市集、DRUNK PART
還有萬惡之都台中龐克歷史文物展{台中限定}

各位有哪些又壞又調皮的龐克仔可以推薦給我們啊～
請下方留言給我們～
歡迎大家不要臉的推薦自己！

#台灣龐克樂團
＃壞壞惹人愛的那種
＃全台灣每個城市的代表

6/7 高雄  醉醉暖身趴
6/8 台中  萬惡主場雙舞台
6/9 台北  明天宿醉會後趴

贊助合作：請洽臉書私訊 但我們知道沒半個～

-----
Sent from JPTT on my LGE LG-H990.

--
","['Syd', 'easycat']","[': 已排好家族出遊QQ', ': 推起來啊']"
89,[公告] 五月份心得獎勵,Sun May  5 12:23:59 2019,Yanagi5566 (持續厭世中),"


       五月的海湧是來自初夏的溫柔




【內容】

寫下屬於自己的""跑團經驗""與""獨立音樂的作品或周邊開箱""

文章需包含與""音樂""呼應的內容


【規範】
分類請用 [心得] 標題不限 字數需要滿100字以上


【獎勵】
每篇獎勵3500P 一人活動期間最多發5篇 兩天最多發一篇

若篇數超過20篇 或超過20人 則以篇數多的優先



--
","['littleoria', 'SuperRoMay', 'hsnufuji']","[': 推', ': 希望能有多多的心得文!!', ': 謝謝版主']"
90,[心得] 濁水溪公社 -【裝潢】,Sun May  5 22:50:50 2019,JJHu (Johnny),"
https://imgur.com/6VBcboR

濁水溪公社最後一張專輯，

我拿到的是簽名版的，

需要預訂才可以拿到，

裡面就附一張大大的簽名海報和CD。

整張聽下來非常好聽，

我竟然用好聽來形容濁團？！

但聽前兩次因為太興奮而感動>>認真聽，

聽第三次時才聽出一些細節，

但這真的是一張好聽的專輯，

尤其整張專輯最後面的solo，

我想歌評部分因為我不是專業就不獻醜了。

而濁水溪公社歷史地位我也不贅述了，

我想說的感想是，

身為一個沒經歷過濁水溪公社早期甚至中期的學生，

對於他們的精神還是相當佩服，

不管支不支持他們的理念，

他們確實說出了台灣一大部分人的心聲，

也代表台灣的多元性，

他們即將解散，

但在我心中濁團是過去30年，

台灣最台最棒的樂團，

希望我們能接下重擔，

繼續讓台灣更好。

（希望濁團老歌迷別嫌棄我描述的太平淡，我怕我一不小心就被桶就沒人看到這篇了XD）

1


2


3


4

X

X

X

X

X

X






--
","['sickiam', 'lyukuo', 'HELPQQ', 'easycat', 'sclbtlove', 'tigerzz3', 'Artistam']","[': 台灣搖滾音樂史上最偉大樂團', ': ㄍㄋㄋㄌㄐㄅ', ': QQ', ': ㄍㄋㄋㄌㄐㄅ', ': ㄍㄋㄋㄐㄅ', ': 再會前奏一下就想哭了', ': 農友來了 感動♡♡♡']"
91,[心得] 打瑪啡之害@PIPE,Mon May  6 01:42:49 2019,Alale (芒忙茫),"
這場真的很少宣傳 或是大家都去爛泥發芽了
所以觀眾是用指頭數得出來的數量@@
創了目前我在PIPE所看過的紀錄
所以寫心得來紀念一下

首先是香港團The Bright Lights
主唱解釋團名是五光十色 像香港的霓虹燈一樣的意思

先來推一首 “鞭子下的勞動者”
https://youtu.be/9UZwa7a9nA8

整體來說曲風算是很多元
但大部分偏pop 而且情歌蠻多的
雖然是我平常比較少聽的曲風
但是因為整體實力堅強
火花很大 現場比專輯好聽的那種
所以還是有點被圈粉了

雙吉他solo非常暢快
鼓手和貝斯手的點也都很強
主唱台風算是很會 撩?XD

見識到了如何把流行歌編曲變得很豐富
還有如何偷加一些fusion元素的東西
有些歌雖然聽得出來是芭樂和弦進行
但還是很沒有節操的 被樂手表現吸走了XD

驚喜是Cover了Jimi Hendrix的Fire
這首真的很炸！


接下來是瑪啡因

那一樣先推一首”煙花”好了
https://youtu.be/LvvjeoXnPo4

一直都很喜歡主唱謝孟庭的聲音
很容易戀愛的聲音
一開始注意到她 是和李友廷的合作曲
但她唱瑪啡因自己的歌 比喜歡更厲害
表情更多 歌也真的都有點難唱

不知道是不是因為來這場的心態是去都蘭度假的關係 我覺得比上次在the wall和好樂團
的專場更好看 表現更穩更鬆

因為現場人真的很少
所以想要卻不可得的大合唱
有很努力的唱大聲 被稱讚了很開心XD

新歌聽起來是更迷幻的新曲風 期待上架！

結尾曲是張震岳的自由和李心潔的愛錯組曲
第一次聽到褚p唱歌耶(如果唱合音不算的話)
前陣子因為大象體操半個的MV拍攝原曲是愛錯 就剛好有預習到了這首華語金曲 也太剛好

聽到限定曲目的感覺就是賺到 哈哈哈

順便再次宣傳一下
瑪啡因和好樂團合作的我們一樣可惜要上架了
所以5/26在台中有發片場喔
台中人動起來！
https://www.indievox.com/legacytc/event-post/21859

--
","['HELPQQ', 'HELPQQ', 'HELPQQ', 'HELPQQ']","[': 《自由》跟《愛錯》！太神啦！', ': 我等等先買台中場的票！', ': 國中的時候，我在教室播《愛錯》那張專輯。', ': 女同學還讚美我，買的專輯超好聽！']"
92,[閒聊] sweet love shower 2019 揪團！！,Mon May  6 22:39:29 2019,Liarme (Liarme),"

算是日本很指標性的音樂祭
但在台灣知名度沒有 FUJIROCK 那麼高
( Fuji 之前去過了 )
但 sweet love 才是真的看得到富士山的音樂祭啊啊
想說上來徵看看有沒有想一起衝的夥伴
附上官網以及前輩寫的中文介紹
如果有興趣的歡迎站內或者留言
謝謝各位 :)


官方網站：https://reurl.cc/xoNm4

中文介紹文章：https://reurl.cc/QmYq5


-----
Sent from JPTT on my Xiaomi Mi MIX 2S.

--
","['Syd', 'Maurine', 'Liarme', 'Liarme', 'honelong46', 'Liarme', 'Liarme', 'Liarme', 'Liarme', 'Syd', 'Syd', 'Syd', 'Liarme', 'Liarme', 'Liarme', 'Liarme', 'Liarme']","[': 去年有OOR 現場很爽', ': 推', ': 真的！！ 連續兩年 wakuwaku Japan 都有轉播被燒得不要不', ': 要的 (錄影錄好錄滿)', ': 連兩年都錄下來的人簽到', ': 屋屋屋( ･\\･ 終於找到同好了！！', ': 海外的音樂祭門檻比較高', ': 好難找人討論說', ': (我也都有錄影耶 擊掌)', ': 不知道你交通工具，去年我當天早上七點坐新宿高速巴士去，在', ': 山中湖路上塞車晚了一個半小時才到，沒看到ヤバイtシャツ屋さ', ': んQQ', ': 前輩的建議筆記筆記！！我看他官方的交通手段有兩種，一種', ': 就是你這種高速，一種應該是正常的客運，一個7點，一個5點', ': ，看起來提早一天到日本才是正確解(¯─¯', ': 有站內我的朋友我都有加入到 line 群組囉 ～ 如果沒有加到', ': 的再麻煩站內我 附上 line id  感謝 ～']"
93,[情報] 《萬佛朝宗：一夜限定》十周年演唱會,Wed May  8 12:55:26 2019,qwsp0912 (),"
（內文皆取自神棍樂團官方Facebook粉專）

2009 年 12 月，神棍樂團發行首張專輯「萬佛朝宗」嶄露頭角， 結合客家/南北管/中國
樂器/西洋樂器的「乩童搖滾」，以一鳴驚人之姿在樂團圈引起不小討論。完美結合東西
方元素的編曲，以及充滿能量的現場演出實力，很快地成為樂迷追逐的對象。不過由於唱
片發行量不高，一開始也沒有在傳統通路或數位平台上架，反而增加了這張專輯的神祕感
與經典性。因此我們特地在本專輯發行即將滿十周年之際，舉辦《萬佛朝宗：一夜限定》
專場，演唱本專輯全曲目以回饋這十年來追隨我們的信徒。各位，請準備好你們的歌詞和
鈔票，一起進場和神棍同時達到涅槃的境界吧！

邀演嘉賓｜貝克小姐Miss Bac.
日期｜2019 / 05 / 11 20:00
地點｜河岸留言(西門紅樓展演館)
票價｜預售 400元
預售網址｜
https://tickets.books.com.tw/progshow/03050001556911/

-

看板上似乎都沒有分享神棍這次的十年專場就跑來分享了><
大概是二月份聽到神棍的〈同溫層的雨季〉以及〈神一樣的存在〉
聽完以後直接被圈粉哈哈哈但礙於大考將近沒辦法去嗚嗚，可能要等下次專場之類的QQ

也附上這兩首歌的連結給大家～

同溫層的雨季：
https://youtu.be/gPtalbzY3No

神一樣的存在：
https://youtu.be/75Ur_VtrJgw

--
","['aaxxcv654', 'Nakajichao']","[': 推神棍，歌都超讚的。 可惜撞預定行程。', ': 推神棍!!!']"
94,[情報] 滅火器海上的人十週年｜特別社群活動,Wed May  8 19:13:21 2019,mco520 (麥田),"

滅火器海上的人十週年｜特別社群活動－瓶中信
5/6 12:00 即將漂流上岸

「遠遠的海上好像漂來了一個玻璃瓶......」

你也遇到了生命中的船長嗎？
關於滅火器、關於勇敢的我們、關於海上的島、關於海上的人......
準備將你的故事放入海中，我們來交換海上的故事吧！


參加小撇步
・在等瓶中信漂流上岸時，先準備好300字以內，屬於你的海上的故事。
・5/6 12:00 滅火器將公布瓶中信位置。
・打開瓶中信，依步驟完成，將你的故事放入海中。
・靜候海浪帶著其他人的故事回來。


#海上的故事
#團員們自己的海上的故事信漂流中
#大家有交過筆友嗎 #有聽過筆友吧！？#暴露年齡了

https://imgur.com/WJkkAEF


-----


看粉專其它貼文，這活動好像還有機會拿到海上的人10週年黑膠版 (應該)


-----


我們都是這海島上的人，我們都是海上的人。


--


回頭看那段青春的路程 你想起離開的時候
傻傻坐上那班夜車 開始奔走的人生

不用怕 我們慢慢的走



--
",[],[]
95,Re: [公告] 四月徵文獎勵,Wed May  8 23:56:23 2019,Yanagi5566 (持續厭世中),"

四月份心得文入選名單

4/03 ck10200503   □ [心得]第一次的大港開唱 Day1
4/05 jeff1117     □ [心得] 中興湖畔旁的無妄合作社
4/05 SuperRoMay   □ [心得] All you need is MUSIC
4/07 chinyu1023   □ [心得] 晨曦光廊十週年專場
4/07 royroy113    □ [心得] 顯然樂隊 杜鵑花音樂節
4/07 ashianQQ     □ [心得] 很懶得寫心得的大港開唱xD
4/08 bohong0616   □ [心得] 晨曦光廊十週年《誠實面對》
4/08 totoioio     □ [心得] 晨曦光廊十週年專場
4/10 hcl1007      □ [心得] 晨曦光廊十週年專場
4/14 Odahunter    □ [心得] soul wave 所謂音樂祭
4/15 hsnufuji     □ [心得] 2019TIFA桑布伊演唱會-國家戲劇院
4/20 blueskymaple □ [心得] 不是桃樂絲@女巫店
4/20 hulu0201     □ [心得] HiJack 因為是學習年代 台北場
4/22 ashianQQ     □ [心得] 暫別愛是唯一_台北legacy
4/26 db12467      □ [心得] 逃走鮑伯-一如往常
4/28 blueskymaple □ [心得] 綠繡眼Zos：初啼
4/29 kimgee       □ [心得] 浮現-消波塊小心得
4/30 bubbler      □ [心得] 晨曦光廊十週年專場


獎勵名單

ashianQQ:7000
blueskymaple:7000
bubbler:3500
bohong0616:3500
ck10200503:3500
chinyu1023:3500
db12467:3500
hcl1007:3500
hsnufuji:3500
hulu0201:3500
jeff1117:3500
kimgee:3500
Odahunter:3500
royroy113:3500
SuperRoMay:3500
totoioio:3500




獎勵發放時間與名單以站方審核通過者為主

--
http://i.imgur.com/QjttQl5.jpg

Today Is A Beautiful Day


--
","['blueskymaple', 'SuperRoMay', 'Odahunter', 'j20110405', 'Yanagi5566', 'Yanagi5566', 'jeff1117']","[': >///<', ': 哇哇發大財!!!', ': 感謝QQ', ': 辛苦版主了', ': 以後應該要公布一下名單xD', ': 不然很多人都問我什麼時候發錢哈哈', ': 辛苦版主了～']"
96,[分享] 台灣新生代樂團奇響 Love_1 愛是唯一,Thu May  9 00:40:32 2019,ANCshan (ANC),"
網站版/手機排版：
https://hacken07jr.shoplineapp.com/pages/love-1

愛是唯一這張專輯可說是一鳴驚人，首張同名專輯一播放便讓人停不下來，難以想像這是
這個樂團的第一張作品，歌曲成熟度與樂句編排都在水準以上。恍若回到多年前第一次聽
到落日飛車的時候，在當年還沒什麼人會買票去看的落日飛車，當然年代有些微落差，現
在大眾對音樂的獲取與接受度都是相對提高的。愛是唯一如同團名般，浪漫、直率、不羈
，充滿對愛戀的期待卻是一副溫柔的吊兒啷噹，緩慢的將你包圍，任你沉浸在夢境般的世
界，脫離現實的紛擾。

love_1 愛是唯一 - 愛是唯一 (Full Album)
https://www.youtube.com/watch?v=SmI-h5Kqtto

樂團成團初期的演出就讓四方驚豔，但那也不過是大概2017年的時候。不同於前輩落日飛
車，即使大抵聽起來是類似的氛圍，卻多了一些隱藏式的兇猛埋在樂句之間，這樣防禦式
的狡詐不斷輕輕的碰觸心臟，直到滴水穿石後是粉身碎骨。等你發現身陷其中的時候已經
來不及了。如果這時有一面鏡子映照著你，你會是瞇著眼笑著的，然後失了魂的再重播一
次。專輯第一首歌《Everytime》便令人目不暇給，明明是帶點 Fusion 與些微
 City-pop 的氛圍，卻意外充滿侵略性，彷彿樂團宣告他們的時代即將來臨。可惜的是，
愛是唯一已在4/21舉辦暫別場，也許是成名的太快造成些許壓力，又或者是想在這一波
意外成功的混亂下稍作歇息，又或許是在創作力爆發的時期保持體力。

愛是唯一 Love_1 every time
https://www.youtube.com/watch?v=-eJnMe52AlY

無論如何，愛是唯一已經用最瀟灑的方式讓樂迷中毒在他們的音樂裡。特別值得一提的是
，專輯內最長的歌曲《Sunshine》長達將近十五分鐘，也許是樂團在這張專輯的集大成之
作，大概還不能算史詩級作品，但也差不多接近這樣的概念了。你可以想像一下，以落日
飛車為架構，混入一大堆你總覺得好像在哪裡聽過卻無法立即給出解釋的鬼東西，這就是
《Sunshine》。

總之，愛是唯一的音樂不是音樂，是巫術。
喔！對了！他們有三把吉他，如果你有注意的話。

同場加映：

光哥貼音樂 / 第二集《來自台灣不容錯過的新銳音樂》
孔雀眼 JADE EYES / Pony5ibe / 渣泥 ZANI / 美秀集團 / Meuko! Meuko!
https://www.youtube.com/watch?v=29YG5LoEB70&hd=1

--
","['SuperRoMay', 'rean5566', 'wax96857', 'uminn', 'uminn', 's916813', 'beverly4222']","[': 第一次看現場覺得台上好擁擠XDDD', ': 這YOUTUBE連結跟聽CD真的差太多，買專輯回家馬上被燒到', ': 現場跟專輯差超多 希望可以改進', ': 樓上有看今年現場嗎？很好看欸', ': 還是看了2017年的影片覺得和今年的專輯錄音落差很大呢', ': 我覺得沒有差很多啦但很不會talking是真的', ': 確實跟專輯有差距沒錯啦']"
97,Re: [情報] 0511《萬佛朝宗：一夜限定》十周年演唱會,Fri May 10 19:23:05 2019,obiwan1103 (反清復明不過是句口號),"

演出倒數24小時，填好此單，我們幫你保留預售票！


表單網址
https://forms.gle/5siQ35qo1eCYDEQs9


(一) 此購票表單為服務不方便/無法於網路購買預售票之觀眾，凡填單者我們將替您保留
預售票票券，毋須事先轉帳。
(二) 可享演出「當日」憑個人資料以「預售票票價」入場。
(三) 請秉持「填單者會確實出席」之誠實互信原則，維護你我雙方友誼之基礎。
(四) 舉頭三尺有神明。

票價｜單人預售400

若有任何疑問，歡迎：

1.私訊神棍樂團粉專
2.洽 [email protected]
3.至《萬佛朝宗：一夜限定》活動頁面留言
https://www.facebook.com/events/1570778279723548/

--
","['HELPQQ', 'yayzh', 'qwsp0912', 'qwsp0912', 'newsherry']","[': 有神快拜！', ': 跪惹', ': 媽被神回文我真的QQQQQ天啊太幸運了吧也祝你們演出順利', ': ！！！', ': 樓上好激動XD 神棍樂團分舵加入惹嗎~~']"
98,[分享] 光哥貼音樂 / D.A.N - Borderland (Live),Sat May 11 06:15:40 2019,ANCshan (ANC),"
D.A.N. - Borderland (Live)
https://www.youtube.com/watch?v=HpfZaU94Luo&hd=1

我們頻道的第一部影片中曾介紹過，帶著濃濃Minimal
還有迷幻元素最具指標性的日本獨立搖滾樂團D.A.N
發布他們去年專輯中光哥最愛的熱門單曲
《Borderland》現場影片

這首長達10分鐘的單曲Live
是2018年底在東京 Tokyo Studio Coast
專輯《Sonatine》的巡迴演出最終站
現場好多人啊…美中小不足是
櫻木大悟哥可更穩啊！

D.A.N. TOUR 2018 ""Sonatine"" Final
Live at Tokyo Studio Coast 2018.12.20

同場加映：
光哥貼音樂 / 第一集
《五種年輕必聽的新世代音樂》
Shigeto / Plini / D.A.N / A$AP Rocky / Crumb
https://www.youtube.com/watch?v=LjoqBM34lJ8&hd=1

一覽所有 #光哥貼音樂 http://0rz.tw/6bvjN

--
","['uminn', 'Alale']","[': 喜歡~', ': 5/22在 the wall也有D.A.N喔']"
99,[交易] 降售 任賢齊 高雄場 2張2200 未取票,Sat May 11 23:22:14 2019,ashianQQ (阿賢別QQ),"

降售 任賢齊 6/16高雄場 2張2200
匯款後給取票序號自行取票
彰化台中可面交

-----
Sent from JPTT on my Asus ASUS_Z017DA.

--
","['blueskymaple', 'endour17', 'Nima000', 'bluexox', 'lyukuo', 'themask7742', 'HELPQQ', 'HELPQQ', 'HELPQQ', 'bossman5566', 'playjoy']","[': 任賢齊非主流...？', ': ......', ': legacy 鐵漢柔情系列的 應該算吧', ': 我是一隻魚', ': 我覺得沒不妥', ': 任賢齊沒差吧', ': 五月天超主流，任賢齊跟五月天比，就是非主流。', ': 當年大哥帶小弟們跑校園演出時，一定沒想到五月天變這樣！', ': ◢▆▅▄▃崩╰(〒皿〒)╯潰▃▄▅▇◣', ': 他的唱功寶刀未老 上次跟茄子蛋在台中合體真的厲害', ': 深深太平洋地深~深傷心']"
100,[情報] 東京樂團 Jaded In Tokyo 唯一巡迴場,Sun May 12 09:44:32 2019,OscarJeff (藝術與城市),"
東京樂團 Jaded In Tokyo (JP) 唯一巡迴場
時間 Time/
2018/05/12(日)
15:30入場door opens / 16:00開演starts

地點 Venue/
江山藝改所（新竹市東區興達街1號）
Jiang Shan Yi Gai Suo (No. 1, Xingda St., Hsinchu City)

演出樂團 Lineup/
Jaded In Tokyo (JP)
https://jadedintokyo.bandcamp.com/
入場贊助 Donation for entry/
$250-150 自由定價 Self-pricing donation

活動頁面：https://www.facebook.com/events/319189322091636/

--
",[],[]
101,[心得] 『知人．怒唱一波』 來自深海的低鳴,Sun May 12 15:08:09 2019,Yanagi5566 (持續厭世中),"

2019/04/20 (六)

Tizzy Bac『知人．怒唱一波』台中場 @Legacy Taichung 台中音樂傳記

既然還能奔跑，就讓我們在人生的長路上，繼續放肆一番

-

醞釀一年的發片巡迴

Tizzy Bac在18年4月發行《知人》後醞釀了一年終於展開他們的發片巡迴

惠婷與前源在talking時也為了這件事說明

發片後不是因為團員私事就是撞到什麼節日讓這場""發片巡迴""經歷一波三折才成行

成團20年，不變的是琴聲落下瞬間的渲染力，變的是惠婷為了這次巡迴準備的新髮型(誤

https://i.imgur.com/Oilavd9.jpg

來自深海的低鳴

創作這張專輯的過程中團員們經歷了哲毓的離開走過了低潮

惠婷說面臨過低潮後

會發現那些人生的挫折在日後總會以不同的樣貌回饋到自己身上

所以當沉溺在低潮中也不要覺得失去希望

而且身旁總會有一群""知人""願意傾聽與陪伴著你

講完這一番話開始演奏深海怪物

隨著琴聲掉入內心深處的掙扎與恐懼 想離開卻不想逃開

最後跟著一系列熟悉的旋律把人拉回海面之上

自顧自地為自己深愛的人努力

https://i.imgur.com/undefined.jpg

In Music, We Trust. MDFK

專場最可貴的其中一個地方莫過於在享受音樂的過程中能聽到穿插在其中的創作故事

並透過現場把自己的心理丟到最掙扎的深海再躍出海面

20年過去，Tizzy Bac仍是我們的知人

https://i.imgur.com/mZJ2kYe.jpg



--
推 ball0228: 我們都會是某些人心目中的主流和非主流，也可能是別人03/04 11:12
→ ball0228: 心中喜歡和討厭的對象，人生可以做自己喜歡的事情是很棒03/04 11:12
→ ball0228: 的，先不管紅不紅，至少我真正踏在真實的世界與你們交流03/04 11:13
→ ball0228: 可以親近的彼此感受，並且面對人生困難的人，我想，03/04 11:13
→ ball0228: 這件事更令我覺得開心：）喔耶！謝謝你們喜歡我們的歌！03/04 11:14
 #1Ms7nXkj (WomenTalk)

--
","['ball0228', 'ball0228', 'ball0228', 'ball0228', 'ball0228', 'JJHu', 'kazeho', 'waynehow', 'littleoria', 'fordayever']","[': 我們都會是某些人心目中的主流和非主流，也可能是別人', ': 心中喜歡和討厭的對象，人生可以做自己喜歡的事情是很棒', ': 的，先不管紅不紅，至少我真正踏在真實的世界與你們交流', ': 可以親近的彼此感受，並且面對人生困難的人，我想，', ': 這件事更令我覺得開心：）喔耶！謝謝你們喜歡我們的歌！', ': 推推', ':', ': 推TB', ': 推TB', ': 推 很喜歡專場的氣氛']"
102,[分享] 生命樹樂團-Knock Knock,Sun May 12 20:00:25 2019,blueskymaple (☆大谷翔平我老公☆),"
別認輸啊 你要的解答 就在不遠前方
-
等了好幾年
生命樹樂團在春吶復出
也在四月底推出新單曲Knock Knock
還是好好聽好感動啊啊啊QAQ

高中很喜歡的團分享給大家！！
也推薦之前的歌
像是我們都不完美、劍魚、刺蝟


數位線上聽：https://star.lnk.to/SD04R

KKBOX：https://bit.ly/2DFYjlZ
MyMusic：https://bit.ly/2GUht9Y
friDay：https://bit.ly/2GX4WkX
iTunes：https://apple.co/2GPYqfM
Apple Music：https://apple.co/2J3SVwo
Spotify：https://spoti.fi/2GS0vbY

--
",['apple12413'],[': 真的好好聽嗚嗚嗚']
103,[問題] 台大音樂祭四人套票缺一個,Sun May 12 21:02:48 2019,s96259 (刀吱吱吱吱吱吱),"

5/18.5/19的台大音樂祭四人套票1200元，我現在找到三個，請問有人要一起嗎><
謝謝大家

--
",['ga2006410493'],[': 已寄信']
104,[自介] davidliu4417,Sun May 12 21:49:01 2019,davidliu4417 (RASON),"
☆★☆★☆★☆★☆★☆★☆★☆★→非主流音樂版←☆★☆★☆★☆★☆★☆★☆★☆★
╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪


1. 唉滴：davidliu4417


2. 暱稱：rason


3. 星座：獅子


4. 喜歡的樂手或樂團：

滅火器、美秀集團、Hello Nico、落日飛車、厭世少年、Vast&Hazy、法蘭黛樂團、
南瓜妮歌迷俱樂部、先知瑪莉、Deca joins、Ellegarden、the hiatus、族繁不及備載

5. 喜歡的歌曲：

最近掉進陸橋或Vanilla的無限loop中。
My jinji、Cheer、海上的人、夜間獨白、米兒、夜夜陪伴我、食人夢


6. 何時接觸非主流：

約莫大二從海上的人開始入門聽滅火器、接著從街聲發現Hello Nico，到後來越聽越廣

7. 想說的話：

除了台灣獨立音樂之外也滿喜歡聽一些日本樂團的，不曉得版上有沒有也喜歡日本樂團的
呢?

                       ■
 ■  ■■■■■■■■ ■
 └─┘  ■ ■ ■ ■ ■■■ ■
  ─┼─     ■ ■ ■■■■■ ■ ■ ■ ■ ■
■■■ ■■■ ■■       │─│   ■ ■■■ ■
■ ■   ■ ■ ■  ■  │  ■■■
■■■ ■■■ ■■ ■ ■ ■■■■ ■
■ ■ ■ ■ ■ ■ ■■■■■■
■■■ ■■■ ■■ ■ ■ ■ ■ ■
■ ■ ■ ■ ■■■■ ■ ■ ■
■ ■■■■■■ ■ ■ Non-mainstream-music 2016


--
","['JJHu', 'littleoria', 'beverly4222', 'qwsp0912', 'vxior', 'vxior', 'tw00109048']","[': 推', ': 推Vanilla villa 最近無限loop+1', ': Vanilla villa 跟陸橋+1 好好聽', ': 推VH～VH七月又要辦專場啦！', ': 推Mary see the future', ': 日團的話有聽she her her hers', ': 推日團 日龐讚']"
105,[情報] 5/25政大音樂節 美秀集團/9m88/晨曦光廊,Mon May 13 20:30:01 2019,MEOWWW (meow),"

第四屆 政大音樂節-做你的海 單日音樂節

時間: 5/24(五) 前夜祭 19:00 - 22:00

      5/25(六) 音樂節 12:00 - 22:00

地點: 國立政治大學四維堂

票價: 前夜祭 $400 , 音樂節 $700,  雙日套票 $999

演出陣容: [5/24] Triple Deer, 七月半, 政大黑音

          [5/25] 9m88, 美秀集團, 晨曦光廊, 逆瓣膜, Be Bop Kids

          I Mean Us, 共犯結構, 屁孩Ryan, Mass Of The Fermenting Dregs (JP)

購票網址: https://www.indievox.com/tour/162

活動官網: https://www.facebook.com/nccumusicfestival/

--
","['gigisteve', 'mdf1235']","[': 晨曦光廊<3<3<3', ': 已買票 推推']"
106,[情報] 西門手碟音樂演奏會,Tue May 14 12:42:08 2019,vician423 (小城之春),"
手碟音樂演奏會
Life Flowing Handpan Solo

歐美最新平衡身心，連結自然與直通宇宙的聲音，
相信這個音頻會帶領你進入一個全新的生命，
最能療癒及打動人心的音樂，期間以冥想帶動自我能量聚集心靈探索。

本次邀請來自米蘭藝術家Lin進行演奏，
想認識手碟這個特別樂器的你，千萬不要錯過了！

2019-05-18(六) 19:00

票價：NT$350
*此活動含一杯飲料(手沖咖啡.精釀啤酒或是夏日氣泡飲可任選)
報名：http://bit.ly/2GSCtxI
FB：https://www.facebook.com/events/586511681855634/

--
晉太元中武陵人
捕漁為業
緣溪行忘路之遠近
忽逢桃花林


--
",[],[]
107,[分享] 法蘭黛/老王樂隊描繪,Tue May 14 13:34:25 2019,ghost811203 (笑嘻嘻),"
打給賀，打給奧炸，

小妹業餘興趣是接一些客製手繪圖，

然後也試著畫了一些喜歡的樂團╰(*插``*)╯

想私心分享一下哈哈

首先當然是本命的老王
https://imgur.com/HGlDyq2


還有女神法蘭的Frande
https://imgur.com/wEsNLXF

之後陸續還會想畫TB、告五人、好樂團、宇宙人、黃玠、美秀……或是事後菸、HONNE一
些國外團，

如果有不嫌棄想follow的也可以參考IG：ohyo_sketcher
（這樣算業配嗎QAQ）

或想跟我點餐也可以哈哈哈

最後附上自己珍藏用的，今年大港跟所愛的人們一起聽團的龐大紀念

https://i.imgur.com/eM4WUhy.jpg

--
","['blueskymaple', 'SuperRoMay', 'alice645845', 'oray914', 'jetjan', 'swajiro', 'booyah0212', 'yayzh', 'lyukuo', 'gash8830', 'Hawkqwq', 'Yanagi5566', 'jiajia1', 'popopoman7', 'torsofu', 'w810701', 'howhowandy', 'peowe161', 'tw00109048', 'Djent127', 'Djent127', 'Bittertabby']","[': 佳瑩C位推推', ': 好看！！！', ': 法蘭黛(σ≧▽≦)σ畫得好棒！', ': 畫得真傳神！', ': 強強強', ': 我有看過珍藏用那張照片耶！XDD', ': 推 好強！', ': 推推', ': 推推～', ': 來推法蘭女神', ': 推HONNE!', ': 推～ 喜歡！', ': 好厲害', ': 推', ': 強', ': 太神辣！！！！', ': 推個<3', ': 厲害', ': \\ yoyo一生推 / \\ yoyo生一堆 /（推不膩餒', ': 刺青版有看到', ': 板', ': 推 超厲害的']"
